男女・年,西暦(年),総数(千人),15～24歳(千人),25～34歳(千人),35～44歳(千人),45～54歳(千人),55～64歳(千人),65歳以上(千人)
実数／男女計／正規／平成27年平均,2015,3916,233,1105,1152,907,414,105
実数／男女計／正規／平成28年平均,2016,4058,277,1134,1153,954,439,100
実数／男女計／正規／平成29年平均,2017,4169,290,1144,1170,1005,455,107
実数／男女計／非正規／平成27年平均,2015,2250,286,376,458,444,383,304
実数／男女計／非正規／平成28年平均,2016,2248,322,370,429,457,371,299
実数／男女計／非正規／平成29年平均,2017,2281,333,363,397,478,391,320
実数／男／正規／平成27年平均,2015,2595,117,658,793,663,302,61
実数／男／正規／平成28年平均,2016,2672,142,676,792,686,315,61
実数／男／正規／平成29年平均,2017,2720,148,677,788,710,333,64
実数／男／非正規／平成27年平均,2015,789,135,150,119,76,142,167
実数／男／非正規／平成28年平均,2016,774,150,136,108,82,137,161
実数／男／非正規／平成29年平均,2017,770,153,134,93,86,135,169
実数／女／正規／平成27年平均,2015,1321,116,446,359,244,111,45
実数／女／正規／平成28年平均,2016,1386,135,458,362,268,124,39
実数／女／正規／平成29年平均,2017,1450,142,467,382,294,122,43
実数／女／非正規／平成27年平均,2015,1461,151,225,339,368,240,137
実数／女／非正規／平成28年平均,2016,1473,172,235,321,375,233,137
実数／女／非正規／平成29年平均,2017,1511,180,229,303,391,257,151
対前年増減数／男女計／正規／平成28年平均,2016,142,44,29,1,47,25,-5
対前年増減数／男女計／正規／平成29年平均,2017,111,13,10,17,51,16,7
対前年増減数／男女計／非正規／平成28年平均,2016,-2,36,-6,-29,13,-12,-5
対前年増減数／男女計／非正規／平成29年平均,2017,33,11,-7,-32,21,20,21
対前年増減数／男／正規／平成28年平均,2016,77,25,18,-1,23,13,0
対前年増減数／男／正規／平成29年平均,2017,48,6,1,-4,24,18,3
対前年増減数／男／非正規／平成28年平均,2016,-15,15,-14,-11,6,-5,-6
対前年増減数／男／非正規／平成29年平均,2017,-4,3,-2,-15,4,-2,8
対前年増減数／女／正規／平成28年平均,2016,65,19,12,3,24,13,-6
対前年増減数／女／正規／平成29年平均,2017,64,7,9,20,26,-2,4
対前年増減数／女／非正規／平成28年平均,2016,12,21,10,-18,7,-7,0
対前年増減数／女／非正規／平成29年平均,2017,38,8,-6,-18,16,24,14
,,,,,,,,
東京の労働力統計データ（平成29年平均）,,,,,,,,
第８表 年齢階級、雇用形態別の役員を除く雇用者数,,,,,,,,
注）雇用形態別の役員を除く雇用者数については、平成25年平均から集計している。,,,,,,,,
注）正規：正規の職員･従業員,,,,,,,,
注）非正規：非正規の職員･従業員,,,,,,,,
