区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12175,12080,95,0.8,5969,5927,42,0.7,6206,6153,53,0.9
〔就業状態〕／労働力人口,7970,7803,167,2.1,4509,4458,51,1.1,3461,3346,115,3.4
〔就業状態〕／労働力人口／就業者数,7757,7592,165,2.2,4384,4334,50,1.2,3373,3258,115,3.5
〔就業状態〕／労働力人口／就業者数／自営業主数,557,571,-14,-2.5,391,419,-28,-6.7,166,153,13,8.5
〔就業状態〕／労働力人口／就業者数／家族従業者数,92,94,-2,-2.1,15,20,-5,-25,77,73,4,5.5
〔就業状態〕／労働力人口／就業者数／雇用者数,7056,6884,172,2.5,3952,3865,87,2.3,3105,3019,86,2.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4225,4107,118,2.9,2773,2686,87,3.2,1452,1421,31,2.2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2300,2275,25,1.1,761,778,-17,-2.2,1538,1497,41,2.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1523,1491,32,2.1,401,412,-11,-2.7,1122,1079,43,4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6559,6406,153,2.4,3764,3671,93,2.5,2796,2735,61,2.2
〔就業状態〕／労働力人口／完全失業者数,213,211,2,0.9,125,124,1,0.8,88,87,1,1.1
〔就業状態〕／非労働力人口,4200,4266,-66,-1.5,1459,1463,-4,-0.3,2741,2803,-62,-2.2
〔就業者の活動状況別内訳〕／就業者数（再掲）,7757,7592,165,2.2,4384,4334,50,1.2,3373,3258,115,3.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7547,7363,184,2.5,4311,4263,48,1.1,3236,3100,136,4.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6434,6312,122,1.9,4136,4074,62,1.5,2299,2238,61,2.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,248,225,23,10.2,105,110,-5,-4.5,143,115,28,24.3
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,864,826,38,4.6,69,80,-11,-13.8,795,747,48,6.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,210,229,-19,-8.3,73,71,2,2.8,137,159,-22,-13.8
〔就業者の主な産業別内訳〕／建設業,467,474,-7,-1.5,390,401,-11,-2.7,77,73,4,5.5
〔就業者の主な産業別内訳〕／製造業,718,755,-37,-4.9,518,518,0,0,200,237,-37,-15.6
〔就業者の主な産業別内訳〕／情報通信業,727,710,17,2.4,531,519,12,2.3,197,191,6,3.1
〔就業者の主な産業別内訳〕／運輸業，郵便業,367,353,14,4,289,286,3,1,79,67,12,17.9
〔就業者の主な産業別内訳〕／卸売業，小売業,1311,1164,147,12.6,654,600,54,9,657,564,93,16.5
〔就業者の主な産業別内訳〕／金融業，保険業,367,321,46,14.3,170,158,12,7.6,197,163,34,20.9
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,276,257,19,7.4,161,145,16,11,116,112,4,3.6
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,513,510,3,0.6,332,331,1,0.3,181,179,2,1.1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,508,525,-17,-3.2,221,226,-5,-2.2,287,299,-12,-4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,257,249,8,3.2,95,103,-8,-7.8,162,146,16,11
〔就業者の主な産業別内訳〕／教育，学習支援業,330,365,-35,-9.6,132,160,-28,-17.5,198,205,-7,-3.4
〔就業者の主な産業別内訳〕／医療，福祉,785,778,7,0.9,211,193,18,9.3,573,585,-12,-2.1
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,618,642,-24,-3.7,352,368,-16,-4.3,266,274,-8,-2.9
〔雇用者の主な産業別内訳〕／建設業,391,395,-4,-1,321,326,-5,-1.5,70,70,0,0
〔雇用者の主な産業別内訳〕／製造業,685,718,-33,-4.6,501,495,6,1.2,184,222,-38,-17.1
〔雇用者の主な産業別内訳〕／情報通信業,693,672,21,3.1,510,491,19,3.9,183,180,3,1.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,350,330,20,6.1,271,265,6,2.3,79,65,14,21.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1221,1091,130,11.9,597,556,41,7.4,624,535,89,16.6
〔雇用者の主な産業別内訳〕／金融業，保険業,366,317,49,15.5,170,157,13,8.3,196,161,35,21.7
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,248,214,34,15.9,142,117,25,21.4,107,97,10,10.3
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,378,387,-9,-2.3,244,246,-2,-0.8,134,141,-7,-5
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,453,460,-7,-1.5,195,187,8,4.3,258,274,-16,-5.8
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,197,196,1,0.5,68,79,-11,-13.9,129,117,12,10.3
〔雇用者の主な産業別内訳〕／教育，学習支援業,303,333,-30,-9,129,155,-26,-16.8,174,178,-4,-2.2
〔雇用者の主な産業別内訳〕／医療，福祉,743,734,9,1.2,185,166,19,11.4,558,568,-10,-1.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,580,603,-23,-3.8,327,339,-12,-3.5,253,264,-11,-4.2
〔非農林業雇用者の従業者規模別内訳〕／総数,7050,6879,171,2.5,3949,3861,88,2.3,3101,3018,83,2.8
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1734,1649,85,5.2,963,937,26,2.8,771,712,59,8.3
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2145,2163,-18,-0.8,1159,1168,-9,-0.8,986,995,-9,-0.9
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2594,2490,104,4.2,1510,1418,92,6.5,1084,1072,12,1.1
〔完全失業率（年齢階級別）(%)〕／総数,2.7,2.7,0,…,2.8,2.8,0,…,2.5,2.6,-0.1,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.6,3.3,1.3,…,5.7,4,1.7,…,3.9,2.6,1.3,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,2.6,3,-0.4,…,2.6,3,-0.4,…,2.7,3.1,-0.4,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.1,2.4,0.7,…,2.9,2,0.9,…,3.4,2.9,0.5,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.1,2.6,-0.5,…,2.2,3,-0.8,…,2,2,0,…
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,2.2,2.7,-0.5,…,2.4,2.6,-0.2,…,1.7,2.9,-1.2,…
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,1.9,2.4,-0.5,…,2.2,3.1,-0.9,…,1.3,1.4,-0.1,…
〔就業率（%）〕／総数,63.7,62.8,0.9,…,73.4,73.1,0.3,…,54.4,52.9,1.5,…
〔労働力人口比率(%)〕／総数,65.5,64.6,0.9,…,75.5,75.2,0.3,…,55.8,54.4,1.4,…
,,,,,,,,,,,,
東京の労働力統計データ（平成29年7～9月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成29年7～9月期平均,,,,,,,,,,,,
注)非農林業雇用者の従業者規模別内訳の総数には官公・従業者規模不詳を含んでいるため、内訳の合計とは一致しない。,,,,,,,,,,,,
