区分,男女計／実数（千人、％）,男女計／前年（千人、％）,男女計／対前年／増減数（千人、ポイント）,男女計／対前年／増減率（％）,男／実数（千人、％）,男／前年（千人、％）,男／対前年／増減数（千人、ポイント）,男／対前年／増減率（％）,女／実数（千人、％）,女／前年（千人、％）,女／対前年／増減数（千人、ポイント）,女／対前年／増減率（％）
15歳以上人口,12158,12065,93,0.8,5962,5920,42,0.7,6197,6144,53,0.9
〔就業状態〕／労働力人口,7908,7768,140,1.8,4466,4429,37,0.8,3442,3338,104,3.1
〔就業状態〕／労働力人口／就業者数,7682,7517,165,2.2,4332,4288,44,1,3349,3229,120,3.7
〔就業状態〕／労働力人口／就業者数／自営業主数,552,534,18,3.4,384,379,5,1.3,168,155,13,8.4
〔就業状態〕／労働力人口／就業者数／家族従業者数,89,94,-5,-5.3,17,22,-5,-22.7,72,72,0,0
〔就業状態〕／労働力人口／就業者数／雇用者数,6997,6843,154,2.3,3909,3859,50,1.3,3088,2984,104,3.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4169,4058,111,2.7,2720,2672,48,1.8,1450,1386,64,4.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2281,2248,33,1.5,770,774,-4,-0.5,1511,1473,38,2.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1497,1481,16,1.1,412,403,9,2.2,1084,1078,6,0.6
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6528,6391,137,2.1,3729,3677,52,1.4,2799,2715,84,3.1
〔就業状態〕／労働力人口／完全失業者数,226,251,-25,-10,134,142,-8,-5.6,92,110,-18,-16.4
〔就業状態〕／非労働力人口,4244,4292,-48,-1.1,1494,1489,5,0.3,2750,2804,-54,-1.9
〔就業者の活動状態別内訳〕／就業者数（再掲）,7682,7517,165,2.2,4332,4288,44,1,3349,3229,120,3.7
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数,7467,7329,138,1.9,4261,4226,35,0.8,3206,3103,103,3.3
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／主に仕事,6400,6275,125,2,4074,4041,33,0.8,2326,2234,92,4.1
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,244,237,7,3,118,118,0,0,126,119,7,5.9
〔就業者の活動状態別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,824,817,7,0.9,70,67,3,4.5,754,750,4,0.5
〔就業者の活動状態別内訳〕／就業者数（再掲）／休業者数,214,188,26,13.8,71,62,9,14.5,143,126,17,13.5
〔就業者の主な産業別内訳〕／建設業,434,446,-12,-2.7,359,377,-18,-4.8,75,69,6,8.7
〔就業者の主な産業別内訳〕／製造業,716,731,-15,-2.1,500,498,2,0.4,215,233,-18,-7.7
〔就業者の主な産業別内訳〕／情報通信業,724,693,31,4.5,513,492,21,4.3,211,201,10,5
〔就業者の主な産業別内訳〕／運輸業，郵便業,367,356,11,3.1,290,284,6,2.1,77,72,5,6.9
〔就業者の主な産業別内訳〕／卸売業，小売業,1272,1216,56,4.6,638,631,7,1.1,634,585,49,8.4
〔就業者の主な産業別内訳〕／金融業，保険業,327,308,19,6.2,160,161,-1,-0.6,168,147,21,14.3
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,257,253,4,1.6,154,152,2,1.3,103,101,2,2
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,515,473,42,8.9,315,295,20,6.8,200,178,22,12.4
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,515,532,-17,-3.2,239,246,-7,-2.8,276,286,-10,-3.5
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,271,277,-6,-2.2,116,124,-8,-6.5,155,153,2,1.3
〔就業者の主な産業別内訳〕／教育，学習支援業,372,378,-6,-1.6,155,173,-18,-10.4,217,205,12,5.9
〔就業者の主な産業別内訳〕／医療，福祉,803,766,37,4.8,230,209,21,10,573,557,16,2.9
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,606,604,2,0.3,348,344,4,1.2,258,260,-2,-0.8
〔雇用者の主な産業別内訳〕／建設業,374,374,0,0,303,312,-9,-2.9,71,63,8,12.7
〔雇用者の主な産業別内訳〕／製造業,683,696,-13,-1.9,482,477,5,1,201,219,-18,-8.2
〔雇用者の主な産業別内訳〕／情報通信業,689,661,28,4.2,488,469,19,4.1,201,192,9,4.7
〔雇用者の主な産業別内訳〕／運輸業，郵便業,345,335,10,3,269,264,5,1.9,76,71,5,7
〔雇用者の主な産業別内訳〕／卸売業，小売業,1194,1143,51,4.5,594,587,7,1.2,600,555,45,8.1
〔雇用者の主な産業別内訳〕／金融業，保険業,325,306,19,6.2,159,160,-1,-0.6,167,146,21,14.4
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,230,221,9,4.1,139,134,5,3.7,91,86,5,5.8
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,381,364,17,4.7,232,224,8,3.6,150,140,10,7.1
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,455,475,-20,-4.2,207,213,-6,-2.8,249,262,-13,-5
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,212,217,-5,-2.3,88,95,-7,-7.4,125,122,3,2.5
〔雇用者の主な産業別内訳〕／教育，学習支援業,338,349,-11,-3.2,145,165,-20,-12.1,193,184,9,4.9
〔雇用者の主な産業別内訳〕／医療，福祉,761,714,47,6.6,204,179,25,14,556,535,21,3.9
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,563,564,-1,-0.2,319,317,2,0.6,243,248,-5,-2
〔非農林業雇用者の従業者規模別内訳〕／総数,6987,6836,151,2.2,3903,3854,49,1.3,3084,2983,101,3.4
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1720,1704,16,0.9,949,953,-4,-0.4,772,750,22,2.9
