男女・年,西暦(年),15歳以上人口（千人）,15歳以上人口／労働力人口（千人）,15歳以上人口／労働力人口／就業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数（千人）,15歳以上人口／労働力人口／就業者数／従業者数／主に仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／通学のかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／従業者数／家事などのかたわらに仕事（千人）,15歳以上人口／労働力人口／就業者数／休業者数（千人）,15歳以上人口／労働力人口／就業者数／自営業主数（千人）,15歳以上人口／労働力人口／就業者数／家族従業者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち正規の職員・従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち非正規の職員･従業員／うちパート･アルバイト（千人）,15歳以上人口／労働力人口／就業者数／雇用者数／うち常雇（再掲）（千人）,15歳以上人口／労働力人口／完全失業者数（千人）,15歳以上人口／非労働力人口（千人）,15歳以上人口／非労働力人口／通学（千人）,15歳以上人口／非労働力人口／家事（千人）,15歳以上人口／非労働力人口／その他（千人）,労働力人口比率（％、ポイント）,就業率（％、ポイント）,完全失業率（％、ポイント）
実数／男女計／平成19年平均,2007,11277,7105,6832,6697,5723,211,763,135,577,143,6067,-,-,-,5221,273,4163,782,1790,1592,63,-,3.8
実数／男女計／平成20年平均,2008,11337,7158,6885,6747,5791,202,754,138,567,126,6156,-,-,-,5329,273,4176,779,1784,1612,63.1,60.7,3.8
実数／男女計／平成21年平均,2009,11373,7115,6781,6611,5683,183,745,170,587,119,6036,-,-,-,5200,334,4252,798,1717,1737,62.6,59.6,4.7
実数／男女計／平成22年平均,2010,11388,7117,6728,6566,5616,188,762,163,571,119,5995,-,-,-,5160,389,4263,794,1745,1724,62.5,59.1,5.5
実数／男女計／平成23年平均,2011,11694,7420,7062,6899,5925,177,797,162,572,120,6330,-,-,-,5489,358,4270,798,1817,1655,63.5,60.4,4.8
実数／男女計／平成24年平均,2012,11730,7406,7070,6905,5946,180,780,165,563,107,6358,-,-,-,5499,336,4321,776,1777,1769,63.1,60.3,4.5
実数／男女計／平成25年平均,2013,11776,7475,7163,6992,6011,182,798,172,578,111,6432,3742,2164,1391,5923,312,4294,749,1682,1863,63.5,60.8,4.2
実数／男女計／平成26年平均,2014,11840,7599,7312,7117,6110,202,805,195,571,102,6594,3820,2228,1404,6117,287,4236,737,1605,1893,64.2,61.8,3.8
実数／男女計／平成27年平均,2015,11925,7675,7400,7203,6175,209,820,196,553,99,6701,3916,2250,1459,6221,275,4245,723,1600,1922,64.4,62.1,3.6
実数／男女計／平成28年平均,2016,12065,7768,7517,7329,6275,237,817,188,534,94,6843,4058,2248,1481,6391,251,4292,734,1558,2000,64.4,62.3,3.2
実数／男女計／平成29年平均,2017,12158,7908,7682,7467,6400,244,824,214,552,89,6997,4169,2281,1497,6528,226,4244,744,1521,1979,65,63.2,2.9
実数／男／平成19年平均,2007,5594,4252,4093,4028,3859,116,53,64,427,27,3616,-,-,-,3302,159,1337,427,54,856,76,-,3.7
実数／男／平成20年平均,2008,5622,4274,4118,4046,3887,111,47,72,414,21,3661,-,-,-,3354,156,1346,426,50,870,76,73.2,3.6
