年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成26年平均,2014,,455,733,686,388,1235,257,238,430,490,287,378,713,534
実数／男女計／平成27年平均,2015,,501,714,677,369,1236,259,259,420,520,276,371,736,582
実数／男女計／平成28年平均,2016,,446,731,693,356,1216,308,253,473,532,277,378,766,604
実数／男女計／平成27年１～３月平均,2015,01～03,459,711,664,366,1221,271,271,427,510,292,362,667,560
実数／男女計／平成27年４～６月平均,2015,04～06,554,686,729,335,1207,237,245,416,549,285,376,801,606
実数／男女計／平成27年７～９月平均,2015,07～09,527,722,675,381,1220,273,252,427,509,241,400,724,596
実数／男女計／平成27年10～12月平均,2015,10～12,465,736,638,395,1304,256,266,410,518,288,349,753,569
実数／男女計／平成28年１～３月平均,2016,01～03,437,709,653,381,1239,278,249,432,544,271,382,703,646
実数／男女計／平成28年４～６月平均,2016,04～06,443,766,715,317,1185,312,221,486,484,284,393,819,563
実数／男女計／平成28年７～９月平均,2016,07～09,474,755,710,353,1164,321,257,510,525,249,365,778,642
実数／男女計／平成28年10～12月平均,2016,10～12,428,695,695,374,1275,322,286,464,574,301,371,763,566
実数／男女計／平成29年１～３月平均,2017,01～03,421,699,690,377,1258,281,261,484,517,268,391,779,653
実数／男女計／平成29年４～６月平均,2017,04～06,430,756,772,354,1234,335,234,567,502,272,388,795,550
実数／男／平成26年平均,2014,,375,518,488,320,624,129,147,272,216,124,169,195,313
実数／男／平成27年平均,2015,,421,494,485,301,649,121,149,270,229,124,168,189,337
実数／男／平成28年平均,2016,,377,498,492,284,631,161,152,295,246,124,173,209,344
実数／男／平成27年１～３月平均,2015,01～03,392,499,468,296,627,129,172,263,230,132,150,181,328
実数／男／平成27年４～６月平均,2015,04～06,467,473,524,276,628,127,129,262,229,129,176,190,354
実数／男／平成27年７～９月平均,2015,07～09,437,497,493,311,669,118,145,285,225,93,184,178,328
実数／男／平成27年10～12月平均,2015,10～12,389,507,455,322,677,108,150,267,236,144,162,207,336
実数／男／平成28年１～３月平均,2016,01～03,373,465,463,300,654,139,153,256,274,119,174,208,376
実数／男／平成28年４～６月平均,2016,04～06,375,553,503,244,621,165,137,293,230,136,178,224,318
実数／男／平成28年７～９月平均,2016,07～09,401,518,519,286,600,158,145,331,226,103,160,193,368
実数／男／平成28年10～12月平均,2016,10～12,358,456,483,306,647,181,175,300,256,137,178,210,315
実数／男／平成29年１～３月平均,2017,01～03,351,477,468,310,637,130,156,293,235,124,181,243,379
実数／男／平成29年４～６月平均,2017,04～06,358,539,559,267,601,170,145,338,238,133,150,241,315
実数／女／平成26年平均,2014,,79,215,198,69,611,128,91,158,273,163,209,519,221
実数／女／平成27年平均,2015,,80,220,192,68,587,139,110,151,290,152,204,547,246
実数／女／平成28年平均,2016,,69,233,201,72,585,147,101,178,286,153,205,557,260
実数／女／平成27年１～３月平均,2015,01～03,67,211,196,70,594,142,99,164,280,160,212,486,232
実数／女／平成27年４～６月平均,2015,04～06,87,213,205,59,579,110,116,154,320,156,201,611,252
