区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成19年平均,2007,5594,754,1052,1056,779,871,1081,145,10,-34,62,32,25,49,2.7,1.3,-3.1,6.2,4.3,3,4.7
15歳以上人口／平成20年平均,2008,5622,734,1029,1086,792,860,1122,28,-20,-23,30,13,-11,41,0.5,-2.7,-2.2,2.8,1.7,-1.3,3.8
15歳以上人口／平成21年平均,2009,5637,711,1003,1105,811,843,1164,15,-23,-26,19,19,-17,42,0.3,-3.1,-2.5,1.7,2.4,-2,3.7
15歳以上人口／平成22年平均,2010,5635,678,979,1110,838,840,1190,-2,-33,-24,5,27,-3,26,0,-4.6,-2.4,0.5,3.3,-0.4,2.2
15歳以上人口／平成23年平均,2011,5756,682,1026,1168,873,852,1155,121,4,47,58,35,12,-35,2.1,0.6,4.8,5.2,4.2,1.4,-2.9
15歳以上人口／平成24年平均,2012,5768,670,1008,1167,903,824,1196,12,-12,-18,-1,30,-28,41,0.2,-1.8,-1.8,-0.1,3.4,-3.3,3.5
15歳以上人口／平成25年平均,2013,5787,661,995,1160,938,789,1245,19,-9,-13,-7,35,-35,49,0.3,-1.3,-1.3,-0.6,3.9,-4.2,4.1
15歳以上人口／平成26年平均,2014,5815,654,987,1150,971,763,1290,28,-7,-8,-10,33,-26,45,0.5,-1.1,-0.8,-0.9,3.5,-3.3,3.6
15歳以上人口／平成27年平均,2015,5853,650,983,1139,1005,748,1329,38,-4,-4,-11,34,-15,39,0.7,-0.6,-0.4,-1,3.5,-2,3
15歳以上人口／平成28年平均,2016,5920,700,959,1129,1043,744,1345,67,50,-24,-10,38,-4,16,1.1,7.7,-2.4,-0.9,3.8,-0.5,1.2
15歳以上人口／平成29年平均,2017,5962,711,955,1109,1074,748,1365,42,11,-4,-20,31,4,20,0.7,1.6,-0.4,-1.8,3,0.5,1.5
労働力人口／平成19年平均,2007,4252,337,984,1021,752,761,397,198,64,-35,61,36,43,30,4.9,23.4,-3.4,6.4,5,6,8.2
