区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12110,12014,96,0.8,5942,5898,44,0.7,6168,6116,52,0.9
〔就業状態〕／労働力人口,7795,7634,161,2.1,4413,4362,51,1.2,3382,3272,110,3.4
〔就業状態〕／労働力人口／就業者数,7560,7366,194,2.6,4279,4222,57,1.4,3281,3144,137,4.4
〔就業状態〕／労働力人口／就業者数／自営業主数,553,536,17,3.2,378,370,8,2.2,175,166,9,5.4
〔就業状態〕／労働力人口／就業者数／家族従業者数,73,103,-30,-29.1,15,26,-11,-42.3,58,77,-19,-24.7
〔就業状態〕／労働力人口／就業者数／雇用者数,6898,6676,222,3.3,3866,3796,70,1.8,3032,2880,152,5.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4027,3952,75,1.9,2669,2645,24,0.9,1358,1307,51,3.9
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2335,2198,137,6.2,791,756,35,4.6,1543,1442,101,7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1526,1452,74,5.1,432,383,49,12.8,1095,1069,26,2.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6418,6274,144,2.3,3686,3632,54,1.5,2733,2642,91,3.4
〔就業状態〕／労働力人口／完全失業者数,235,268,-33,-12.3,133,140,-7,-5,101,128,-27,-21.1
〔就業状態〕／非労働力人口,4309,4377,-68,-1.6,1526,1534,-8,-0.5,2783,2843,-60,-2.1
〔就業者の活動状況別内訳〕／就業者数（再掲）,7560,7366,194,2.6,4279,4222,57,1.4,3281,3144,137,4.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7298,7178,120,1.7,4196,4156,40,1,3102,3021,81,2.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6260,6158,102,1.7,4013,3991,22,0.6,2247,2167,80,3.7
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,249,207,42,20.3,126,111,15,13.5,123,96,27,28.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,790,813,-23,-2.8,57,54,3,5.6,732,759,-27,-3.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,262,188,74,39.4,83,66,17,25.8,179,122,57,46.7
〔就業者の主な産業別内訳〕／建設業,421,437,-16,-3.7,351,373,-22,-5.9,70,64,6,9.4
〔就業者の主な産業別内訳〕／製造業,699,709,-10,-1.4,477,465,12,2.6,221,244,-23,-9.4
〔就業者の主な産業別内訳〕／情報通信業,690,653,37,5.7,468,463,5,1.1,222,190,32,16.8
〔就業者の主な産業別内訳〕／運輸業，郵便業,377,381,-4,-1,310,300,10,3.3,66,81,-15,-18.5
〔就業者の主な産業別内訳〕／卸売業，小売業,1258,1239,19,1.5,637,654,-17,-2.6,621,585,36,6.2
〔就業者の主な産業別内訳〕／金融業，保険業,281,278,3,1.1,130,139,-9,-6.5,151,139,12,8.6
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,261,249,12,4.8,156,153,3,2,105,96,9,9.4
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,484,432,52,12,293,256,37,14.5,191,175,16,9.1
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,517,544,-27,-5,235,274,-39,-14.2,282,270,12,4.4
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,268,271,-3,-1.1,124,119,5,4.2,145,152,-7,-4.6
〔就業者の主な産業別内訳〕／教育，学習支援業,391,382,9,2.4,181,174,7,4,210,208,2,1
〔就業者の主な産業別内訳〕／医療，福祉,779,703,76,10.8,243,208,35,16.8,537,495,42,8.5
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,653,646,7,1.1,379,376,3,0.8,274,270,4,1.5
〔雇用者の主な産業別内訳〕／建設業,359,352,7,2,291,297,-6,-2,67,55,12,21.8
〔雇用者の主な産業別内訳〕／製造業,675,670,5,0.7,464,444,20,4.5,210,226,-16,-7.1
〔雇用者の主な産業別内訳〕／情報通信業,650,616,34,5.5,438,436,2,0.5,212,180,32,17.8
〔雇用者の主な産業別内訳〕／運輸業，郵便業,351,357,-6,-1.7,285,276,9,3.3,66,81,-15,-18.5
〔雇用者の主な産業別内訳〕／卸売業，小売業,1184,1159,25,2.2,596,611,-15,-2.5,588,548,40,7.3
〔雇用者の主な産業別内訳〕／金融業，保険業,277,275,2,0.7,126,136,-10,-7.4,150,139,11,7.9
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,237,218,19,8.7,143,140,3,2.1,94,79,15,19
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,351,322,29,9,219,190,29,15.3,132,132,0,0
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,457,484,-27,-5.6,202,238,-36,-15.1,255,246,9,3.7
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,211,213,-2,-0.9,92,92,0,0,119,121,-2,-1.7
〔雇用者の主な産業別内訳〕／教育，学習支援業,359,358,1,0.3,172,169,3,1.8,187,188,-1,-0.5
〔雇用者の主な産業別内訳〕／医療，福祉,746,667,79,11.8,219,190,29,15.3,527,477,50,10.5
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,611,611,0,0,354,352,2,0.6,257,259,-2,-0.8
〔非農林業雇用者の従業者規模別内訳〕／総数,6882,6668,214,3.2,3856,3791,65,1.7,3026,2877,149,5.2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1701,1696,5,0.3,926,951,-25,-2.6,776,745,31,4.2
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,2095,2049,46,2.2,1156,1114,42,3.8,939,935,4,0.4
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,2501,2406,95,3.9,1443,1428,15,1.1,1058,978,80,8.2
〔完全失業率（年齢階級別）(%)〕／総数,3,3.5,-0.5,…,3,3.2,-0.2,…,3,3.9,-0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,4.8,6.9,-2.1,…,5.4,5.3,0.1,…,4.3,8.5,-4.2,…
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,2.9,3.9,-1,…,3,4.2,-1.2,…,2.7,3.6,-0.9,…
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,3.5,2.7,0.8,…,3.2,2.3,0.9,…,3.9,3.3,0.6,…
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,2.4,3.6,-1.2,…,2.3,2.8,-0.5,…,2.5,4.6,-2.1,…
