年・期,西暦(年),四半期,男女計／就業者数（千人）,男女計／就業者数／自営業主数（千人）,男女計／就業者数／家族従業者数（千人）,男女計／就業者数／雇用者数（千人）,男女計／就業者数／雇用者数／うち正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男女計／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）,男女計／就業者数／雇用者数／うち常雇（再掲）（千人）,男／就業者数（千人）,男／就業者数／自営業主数（千人）,男／就業者数／家族従業者数（千人）,男／就業者数／雇用者数（千人）,男／就業者数／雇用者数／うち正規の職員・従業員（千人）,男／就業者数／雇用者数／うち非正規の職員・従業員（千人）,男／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）,男／就業者数／雇用者数／うち常雇（再掲）（千人）,女／就業者数（千人）,女／就業者数／自営業主数（千人）,女／就業者数／家族従業者数（千人）,女／就業者数／雇用者数（千人）,女／就業者数／雇用者数／うち正規の職員・従業員（千人）,女／就業者数／雇用者数／うち非正規の職員・従業員（千人）,女／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト（千人）,女／就業者数／雇用者数／うち常雇（再掲）（千人）
実数／平成26年７～９月平均,2014,07～09,7240,545,91,6568,3884,2135,1343,6104,4172,395,13,3745,2562,775,383,3549,3068,150,78,2823,1322,1360,960,2555
実数／平成26年10～12月平均,2014,10～12,7341,564,92,6628,3819,2267,1459,6178,4177,391,18,3736,2528,793,390,3562,3164,173,74,2892,1290,1474,1069,2617
実数／平成27年１～３月平均,2015,01～03,7276,558,102,6564,3774,2243,1470,6109,4174,385,17,3737,2559,761,397,3549,3102,173,85,2827,1215,1482,1073,2560
実数／平成27年４～６月平均,2015,04～06,7476,586,103,6743,3976,2252,1416,6241,4239,403,12,3796,2578,823,406,3584,3237,183,91,2947,1398,1429,1010,2656
実数／平成27年７～９月平均,2015,07～09,7441,516,82,6794,4027,2243,1462,6323,4263,382,11,3837,2651,794,413,3638,3178,134,71,2957,1376,1449,1049,2685
実数／平成27年10～12月平均,2015,10～12,7427,549,110,6727,3894,2276,1501,6226,4262,403,27,3810,2598,784,401,3602,3164,146,83,2916,1295,1492,1100,2625
実数／平成28年１～３月平均,2016,01～03,7366,536,103,6676,3952,2198,1452,6274,4222,370,26,3796,2645,756,383,3632,3144,166,77,2880,1307,1442,1069,2642
実数／平成28年４～６月平均,2016,04～06,7497,528,87,6834,4090,2194,1399,6388,4290,375,17,3866,2670,781,401,3669,3207,153,70,2968,1420,1413,997,2719
実数／平成28年７～９月平均,2016,07～09,7592,571,94,6884,4107,2275,1491,6406,4334,419,20,3865,2686,778,412,3671,3258,153,73,3019,1421,1497,1079,2735
実数／平成28年10～12月平均,2016,10～12,7611,500,92,6980,4083,2324,1582,6497,4305,352,23,3910,2687,783,414,3734,3305,148,69,3070,1397,1541,1168,2764
実数／平成29年１～３月平均,2017,01～03,7560,553,73,6898,4027,2335,1526,6418,4279,378,15,3866,2669,791,432,3686,3281,175,58,3032,1358,1543,1095,2733
実数／平成29年４～６月平均,2017,04～06,7686,574,87,6980,4184,2198,1431,6562,4353,404,15,3909,2714,746,390,3750,3333,170,72,3071,1469,1453,1041,2812
対前年・対前年同期増減数／平成22年平均,2010,,-53,-16,0,-41,-,-,-,-40,-70,-18,2,-57,-,-,-,-69,17,2,-2,16,-,-,-,29
対前年・対前年同期増減数／平成23年平均,2011,,334,1,1,335,-,-,-,329,181,13,-2,174,-,-,-,175,153,-12,3,161,-,-,-,154
対前年・対前年同期増減数／平成24年平均,2012,,8,-9,-13,28,-,-,-,10,8,-3,1,7,-,-,-,-7,0,-6,-14,22,-,-,-,18
対前年・対前年同期増減数／平成25年平均,2013,,93,15,4,74,-,-,-,424,0,5,2,-5,-,-,-,102,93,10,3,77,-,-,-,321
対前年・対前年同期増減数／平成26年平均,2014,,149,-7,-9,162,78,64,13,194,53,-18,-4,71,36,23,2,89,96,10,-6,92,42,41,11,104
対前年・対前年同期増減数／平成27年平均,2015,,88,-18,-3,107,96,22,55,104,49,-2,-1,47,57,2,14,40,39,-15,-2,60,39,20,41,65
対前年・対前年同期増減数／平成28年平均,2016,,117,-19,-5,142,142,-2,22,170,56,-15,5,67,77,-15,0,86,61,-4,-10,75,65,12,22,85
対前年・対前年同期増減数／平成23年10～12月平均,2011,10～12,256,-33,-25,325,-,-,-,301,148,-18,-9,182,-,-,-,168,107,-15,-16,143,-,-,-,133
対前年・対前年同期増減数／平成24年１～３月平均,2012,01～03,-31,12,-3,-24,-,-,-,-96,-28,17,3,-40,-,-,-,-54,-2,-5,-6,16,-,-,-,-42
対前年・対前年同期増減数／平成24年４～６月平均,2012,04～06,-18,-51,-22,59,-,-,-,35,38,-32,7,62,-,-,-,39,-55,-19,-29,-2,-,-,-,-3
対前年・対前年同期増減数／平成24年７～９月平均,2012,07～09,98,2,-12,113,-,-,-,117,20,-5,2,21,-,-,-,12,78,7,-15,92,-,-,-,106
対前年・対前年同期増減数／平成24年10～12月平均,2012,10～12,-18,4,-14,-36,-,-,-,-18,2,9,-6,-16,-,-,-,-27,-20,-5,-7,-20,-,-,-,10
対前年・対前年同期増減数／平成25年１～３月平均,2013,01～03,20,-19,12,10,-,-,-,365,20,-10,2,23,-,-,-,95,-1,-8,10,-13,-,-,-,270
対前年・対前年同期増減数／平成25年４～６月平均,2013,04～06,117,75,7,27,-,-,-,405,-21,31,-4,-48,-,-,-,70,136,43,11,75,-,-,-,334
対前年・対前年同期増減数／平成25年７～９月平均,2013,07～09,58,7,-7,69,-,-,-,410,0,9,0,0,-,-,-,105,58,-2,-6,69,-,-,-,305
対前年・対前年同期増減数／平成25年10～12月平均,2013,10～12,179,-6,4,188,-,-,-,516,1,-12,7,9,-,-,-,141,178,6,-4,180,-,-,-,375
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,153,-25,-24,209,-18,176,106,245,62,-55,-4,120,62,21,15,146,91,29,-20,90,-80,156,91,99
対前年・対前年同期増減数／平成26年４～６月平均,2014,04～06,172,9,1,161,75,59,13,153,4,-7,-3,14,-32,21,5,16,169,16,4,147,106,38,7,137
対前年・対前年同期増減数／平成26年７～９月平均,2014,07～09,138,-25,-6,160,142,20,-40,198,81,-8,-6,89,60,30,-7,112,57,-17,0,71,83,-10,-32,86
対前年・対前年同期増減数／平成26年10～12月平均,2014,10～12,133,14,-8,121,114,-1,-24,178,65,1,-2,60,53,18,-4,82,68,13,-6,60,60,-19,-20,97
対前年・対前年同期増減数／平成27年１～３月平均,2015,01～03,32,5,-1,13,42,-25,29,68,7,7,-1,-14,37,-36,-8,8,25,-2,0,26,5,10,37,60
対前年・対前年同期増減数／平成27年４～６月平均,2015,04～06,52,-35,-18,113,131,12,41,98,23,-18,-10,47,38,40,27,30,29,-16,-8,66,93,-28,15,67
対前年・対前年同期増減数／平成27年７～９月平均,2015,07～09,201,-29,-9,226,143,108,119,219,91,-13,-2,92,89,19,30,89,110,-16,-7,134,54,89,89,130
対前年・対前年同期増減数／平成27年10～12月平均,2015,10～12,86,-15,18,99,75,9,42,48,85,12,9,74,70,-9,11,40,0,-27,9,24,5,18,31,8
対前年・対前年同期増減数／平成28年１～３月平均,2016,01～03,90,-22,1,112,178,-45,-18,165,48,-15,9,59,86,-5,-14,83,42,-7,-8,53,92,-40,-4,82
対前年・対前年同期増減数／平成28年４～６月平均,2016,04～06,21,-58,-16,91,114,-58,-17,147,51,-28,5,70,92,-42,-5,85,-30,-30,-21,21,22,-16,-13,63
対前年・対前年同期増減数／平成28年７～９月平均,2016,07～09,151,55,12,90,80,32,29,83,71,37,9,28,35,-16,-1,33,80,19,2,62,45,48,30,50
対前年・対前年同期増減数／平成28年10～12月平均,2016,10～12,184,-49,-18,253,189,48,81,271,43,-51,-4,100,89,-1,13,132,141,2,-14,154,102,49,68,139
対前年・対前年同期増減数／平成29年１～３月平均,2017,01～03,194,17,-30,222,75,137,74,144,57,8,-11,70,24,35,49,54,137,9,-19,152,51,101,26,91
対前年・対前年同期増減数／平成29年４～６月平均,2017,04～06,189,46,0,146,94,4,32,174,63,29,-2,43,44,-35,-11,81,126,17,2,103,49,40,44,93
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の労働力統計データ（平成29年４～６月期平均）,,,,,,,,,,,,,,,,,,,,,,,,,,
第３表　従業上の地位別就業者数,,,,,,,,,,,,,,,,,,,,,,,,,,
