区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,12189,12098,91,0.8,5974,5935,39,0.7,6214,6162,52,0.8
〔就業状態〕／労働力人口,7953,7869,84,1.1,4456,4460,-4,-0.1,3497,3408,89,2.6
〔就業状態〕／労働力人口／就業者数,7723,7611,112,1.5,4314,4305,9,0.2,3409,3305,104,3.1
〔就業状態〕／労働力人口／就業者数／自営業主数,524,500,24,4.8,362,352,10,2.8,162,148,14,9.5
〔就業状態〕／労働力人口／就業者数／家族従業者数,105,92,13,14.1,23,23,0,0,82,69,13,18.8
〔就業状態〕／労働力人口／就業者数／雇用者数,7052,6980,72,1,3909,3910,-1,0,3144,3070,74,2.4
〔就業状態〕／労働力人口／就業者数／雇用者数／うち正規の職員・従業員,4242,4083,159,3.9,2723,2687,36,1.3,1520,1397,123,8.8
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員,2292,2324,-32,-1.4,782,783,-1,-0.1,1510,1541,-31,-2
〔就業状態〕／労働力人口／就業者数／雇用者数／うち非正規の職員・従業員／うちパート・アルバイト,1506,1582,-76,-4.8,426,414,12,2.9,1080,1168,-88,-7.5
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,6572,6497,75,1.2,3716,3734,-18,-0.5,2856,2764,92,3.3
〔就業状態〕／労働力人口／完全失業者数,230,258,-28,-10.9,142,155,-13,-8.4,88,103,-15,-14.6
〔就業状態〕／非労働力人口,4227,4226,1,0,1516,1473,43,2.9,2711,2752,-41,-1.5
〔就業者の活動状況別内訳〕／就業者数（再掲）,7723,7611,112,1.5,4314,4305,9,0.2,3409,3305,104,3.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,7502,7438,64,0.9,4243,4254,-11,-0.3,3259,3184,75,2.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,6438,6325,113,1.8,4034,4066,-32,-0.8,2404,2259,145,6.4
