男女・年,西暦(年),建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成25年平均,2013,413,734,637,385,1196,283,218,436,507,267,364,701,555,467
実数／男女計／平成26年平均,2014,455,733,686,388,1235,257,238,430,490,287,378,713,534,487
実数／男女計／平成27年平均,2015,501,714,677,369,1236,259,259,420,520,276,371,736,582,479
実数／男女計／平成28年平均,2016,446,731,693,356,1216,308,253,473,532,277,378,766,604,483
実数／男女計／平成29年平均,2017,434,716,724,367,1272,327,257,515,515,271,372,803,606,503
実数／男／平成25年平均,2013,348,541,450,315,593,137,131,275,234,116,166,205,331,287
実数／男／平成26年平均,2014,375,518,488,320,624,129,147,272,216,124,169,195,313,293
実数／男／平成27年平均,2015,421,494,485,301,649,121,149,270,229,124,168,189,337,295
実数／男／平成28年平均,2016,377,498,492,284,631,161,152,295,246,124,173,209,344,302
実数／男／平成29年平均,2017,359,500,513,290,638,160,154,315,239,116,155,230,348,313
実数／女／平成25年平均,2013,64,194,187,70,603,145,87,161,273,151,198,496,225,178
実数／女／平成26年平均,2014,79,215,198,69,611,128,91,158,273,163,209,519,221,195
実数／女／平成27年平均,2015,80,220,192,68,587,139,110,151,290,152,204,547,246,183
実数／女／平成28年平均,2016,69,233,201,72,585,147,101,178,286,153,205,557,260,182
実数／女／平成29年平均,2017,75,215,211,77,634,168,103,200,276,155,217,573,258,188
対前年増減数／男女計／平成26年平均,2014,42,-1,49,3,39,-26,20,-6,-17,20,14,12,-21,20
対前年増減数／男女計／平成27年平均,2015,46,-19,-9,-19,1,2,21,-10,30,-11,-7,23,48,-8
対前年増減数／男女計／平成28年平均,2016,-55,17,16,-13,-20,49,-6,53,12,1,7,30,22,4
対前年増減数／男女計／平成29年平均,2017,-12,-15,31,11,56,19,4,42,-17,-6,-6,37,2,20
対前年増減数／男／平成26年平均,2014,27,-23,38,5,31,-8,16,-3,-18,8,3,-10,-18,6
対前年増減数／男／平成27年平均,2015,46,-24,-3,-19,25,-8,2,-2,13,0,-1,-6,24,2
対前年増減数／男／平成28年平均,2016,-44,4,7,-17,-18,40,3,25,17,0,5,20,7,7
対前年増減数／男／平成29年平均,2017,-18,2,21,6,7,-1,2,20,-7,-8,-18,21,4,11
対前年増減数／女／平成26年平均,2014,15,21,11,-1,8,-17,4,-3,0,12,11,23,-4,17
対前年増減数／女／平成27年平均,2015,1,5,-6,-1,-24,11,19,-7,17,-11,-5,28,25,-12
対前年増減数／女／平成28年平均,2016,-11,13,9,4,-2,8,-9,27,-4,1,1,10,14,-1
対前年増減数／女／平成29年平均,2017,6,-18,10,5,49,21,2,22,-10,2,12,16,-2,6
,,,,,,,,,,,,,,,
東京の労働力統計データ（平成29年平均）,,,,,,,,,,,,,,,
第４表　主な産業別就業者数,,,,,,,,,,,,,,,
