年・期,西暦(年),四半期,男女計／1～29人（千人）,男女計／30～499人（千人）,男女計／500人以上（千人）,男／1～29人（千人）,男／30～499人（千人）,男／500人以上（千人）,女／1～29人（千人）,女／30～499人（千人）,女／500人以上（千人）
実数／平成22年平均,2010,,1693,1912,1958,974,1083,1195,719,829,764
実数／平成23年平均,2011,,1783,1991,2045,1018,1112,1237,765,879,808
実数／平成24年平均,2012,,1746,1968,2105,1010,1104,1250,736,863,855
実数／平成25年平均,2013,,1717,2001,2167,967,1121,1296,750,881,872
実数／平成26年平均,2014,,1726,2022,2296,959,1131,1370,767,891,926
実数／平成27年平均,2015,,1717,2062,2379,961,1131,1405,756,931,974
実数／平成28年平均,2016,,1704,2108,2474,953,1144,1444,750,964,1030
実数／平成24年１～３月平均,2012,01～03,1771,2014,2043,995,1127,1200,776,887,843
実数／平成24年４～６月平均,2012,04～06,1795,1878,2145,1040,1067,1299,755,811,847
実数／平成24年７～９月平均,2012,07～09,1764,1995,2076,1028,1104,1244,736,891,833
実数／平成24年10～12月平均,2012,10～12,1655,1983,2156,977,1119,1260,679,865,896
実数／平成25年１～３月平均,2013,01～03,1723,1999,2103,995,1075,1270,727,925,834
実数／平成25年４～６月平均,2013,04～06,1699,1955,2241,967,1110,1367,732,845,875
実数／平成25年７～９月平均,2013,07～09,1697,1959,2185,930,1137,1293,768,822,892
実数／平成25年10～12月平均,2013,10～12,1749,2093,2140,977,1161,1254,772,931,886
実数／平成26年１～３月平均,2014,01～03,1754,1995,2249,984,1111,1354,769,884,895
実数／平成26年４～６月平均,2014,04～06,1778,2004,2316,1010,1087,1404,768,917,911
実数／平成26年７～９月平均,2014,07～09,1651,2044,2304,924,1173,1350,727,871,955
実数／平成26年10～12月平均,2014,10～12,1720,2045,2316,917,1153,1374,803,892,942
実数／平成27年１～３月平均,2015,01～03,1719,2001,2310,973,1089,1387,746,912,922
実数／平成27年４～６月平均,2015,04～06,1726,2119,2398,978,1129,1437,748,990,961
実数／平成27年７～９月平均,2015,07～09,1700,2099,2455,954,1175,1419,746,924,1036
実数／平成27年10～12月平均,2015,10～12,1728,2035,2361,942,1135,1379,786,900,982
実数／平成28年１～３月平均,2016,01～03,1696,2049,2406,951,1114,1428,745,935,978
実数／平成28年４～６月平均,2016,04～06,1703,2054,2542,959,1142,1484,744,912,1058
実数／平成28年７～９月平均,2016,07～09,1649,2163,2490,937,1168,1418,712,995,1072
実数／平成28年10～12月平均,2016,10～12,1766,2167,2457,967,1154,1447,800,1013,1010
実数／平成29年１～３月平均,2017,01～03,1701,2095,2501,926,1156,1443,776,939,1058
実数／平成29年４～６月平均,2017,04～06,1766,2064,2556,986,1103,1516,780,961,1040
対前年・対前年同期増減数／平成22年平均,2010,,-85,27,22,-52,10,-20,-33,17,43
対前年・対前年同期増減数／平成23年平均,2011,,90,79,87,44,29,42,46,50,44
対前年・対前年同期増減数／平成24年平均,2012,,-37,-23,60,-8,-8,13,-29,-16,47
対前年・対前年同期増減数／平成25年平均,2013,,-29,33,62,-43,17,46,14,18,17
対前年・対前年同期増減数／平成26年平均,2014,,9,21,129,-8,10,74,17,10,54
対前年・対前年同期増減数／平成27年平均,2015,,-9,40,83,2,0,35,-11,40,48
対前年・対前年同期増減数／平成28年平均,2016,,-13,46,95,-8,13,39,-6,33,56
対前年・対前年同期増減数／平成24年１～３月平均,2012,01～03,-31,17,44,-11,34,7,-20,-17,38
対前年・対前年同期増減数／平成24年４～６月平均,2012,04～06,-2,-101,99,16,-46,73,-18,-55,28
対前年・対前年同期増減数／平成24年７～９月平均,2012,07～09,36,-20,38,27,-37,-4,9,17,43
対前年・対前年同期増減数／平成24年10～12月平均,2012,10～12,-149,11,58,-63,18,-19,-85,-6,77
対前年・対前年同期増減数／平成25年１～３月平均,2013,01～03,-48,-15,60,0,-52,70,-49,38,-9
対前年・対前年同期増減数／平成25年４～６月平均,2013,04～06,-96,77,96,-73,43,68,-23,34,28
対前年・対前年同期増減数／平成25年７～９月平均,2013,07～09,-67,-36,109,-98,33,49,32,-69,59
対前年・対前年同期増減数／平成25年10～12月平均,2013,10～12,94,110,-16,0,42,-6,93,66,-10
対前年・対前年同期増減数／平成26年１～３月平均,2014,01～03,31,-4,146,-11,36,84,42,-41,61
対前年・対前年同期増減数／平成26年４～６月平均,2014,04～06,79,49,75,43,-23,37,36,72,36
対前年・対前年同期増減数／平成26年７～９月平均,2014,07～09,-46,85,119,-6,36,57,-41,49,63
対前年・対前年同期増減数／平成26年10～12月平均,2014,10～12,-29,-48,176,-60,-8,120,31,-39,56
対前年・対前年同期増減数／平成27年１～３月平均,2015,01～03,-35,6,61,-11,-22,33,-23,28,27
対前年・対前年同期増減数／平成27年４～６月平均,2015,04～06,-52,115,82,-32,42,33,-20,73,50
対前年・対前年同期増減数／平成27年７～９月平均,2015,07～09,49,55,151,30,2,69,19,53,81
対前年・対前年同期増減数／平成27年10～12月平均,2015,10～12,8,-10,45,25,-18,5,-17,8,40
対前年・対前年同期増減数／平成28年１～３月平均,2016,01～03,-23,48,96,-22,25,41,-1,23,56
対前年・対前年同期増減数／平成28年４～６月平均,2016,04～06,-23,-65,144,-19,13,47,-4,-78,97
対前年・対前年同期増減数／平成28年７～９月平均,2016,07～09,-51,64,35,-17,-7,-1,-34,71,36
対前年・対前年同期増減数／平成28年10～12月平均,2016,10～12,38,132,96,25,19,68,14,113,28
対前年・対前年同期増減数／平成29年１～３月平均,2017,01～03,5,46,95,-25,42,15,31,4,80
対前年・対前年同期増減数／平成29年４～６月平均,2017,04～06,63,10,14,27,-39,32,36,49,-18
,,,,,,,,,,,
東京の労働力統計データ（平成29年４～６月期平均）,,,,,,,,,,,
第６表　企業の従業者規模別非農林業雇用者数,,,,,,,,,,,
