"年度","区分","視覚障害 18歳未満[人]","視覚障害 18歳以上[人]","聴覚・平衡機能障害 18歳未満[人]","聴覚・平衡機能障害 18歳以上[人]","音声・言語そしゃく機能障害 18歳未満[人]","音声・言語そしゃく機能障害 18歳以上[人]","肢体不自由 18歳未満[人]","肢体不自由 18歳以上[人]","心臓機能障害 18歳未満[人]","心臓機能障害 18歳以上[人]","腎臓機能障害 18歳未満[人]","腎臓機能障害 18歳以上[人]","呼吸器機能障害 18歳未満[人]","呼吸器機能障害 18歳以上[人]","ぼうこう直腸機能障害(小腸含む) 18歳未満[人]","ぼうこう直腸機能障害(小腸含む) 18歳以上[人]","免疫機能障害 18歳未満[人]","免疫機能障害 18歳以上[人]","肝臓機能障害 18歳未満[人]","肝臓機能障害 18歳以上[人]"
"2013","合計","4","317","23","359","3","62","81","2642","16","782","0","412","3","96","3","223","0","128","1","9"
"2014","合計","4","322","25","361","3","59","84","2607","11","780","0","418","3","87","3","232","0","137","1","9"
"2015","合計","5","335","22","357","3","61","85","2558","11","791","0","425","4","69","3","231","0","145","2","9"
"2016","合計","3","344","19","354","2","62","91","2530","14","795","0","442","5","67","5","239","0","153","1","17"
"2017","１級","4","97","1","18","0","4","49","468","7","637","0","455","5","16","2","2","0","26","0","16"
"2017","２級","1","104","8","92","0","1","27","455","0","0","0","0","0","5","0","2","0","57","0","2"
"2017","３級","0","22","2","45","0","36","7","539","2","101","0","3","0","34","3","16","0","44","0","0"
"2017","４級","0","29","2","100","1","15","2","671","2","71","0","3","1","18","0","211","0","36","0","0"
"2017","５級","0","62","1","3","0","0","5","207","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","６級","0","24","7","98","0","0","1","111","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","合計","5","338","21","356","1","56","91","2451","11","809","0","461","6","73","5","231","0","163","0","18"

"平成30年度港区行政資料集　身体障害者手帳所持者数","Ver201803",,,,,,,,,,,,,,,,,,,,
