全国地方公共団体コード,ID,法人番号,地方公共団体名,名称,名称_カナ,住所,方書,緯度,経度,電話番号,FAX番号,メールアドレス,URL,連絡先備考（その他、SNSなど）,画像,画像_ライセンス,備考
132128,1,,東京都日野市,東都式典,トウトシキテン,日野市多摩平5-8-1,,,,(042)583-6565,,,,,,,
132128,2,,東京都日野市,マハヤナ協会,マハヤナキョウカイ,日野市日野本町2-13-11,,,,(042)581-1100,,,,,,,
132128,3,,東京都日野市,都典礼,ミヤコテンレイ,日野市日野377-11,,,,(042)585-7400,,,,,,,
132128,4,,東京都日野市,セレモハイネス,セレモハイネス,日野市旭ヶ丘2-12-7,大沢ビル1階,,,(042)589-1985,,,,,,,
132128,5,,東京都日野市,セレモニー小峰,セレモニーコミネ,日野市程久保8-2-9,,,,(042)591-1234,,,,,,,
132128,6,,東京都日野市,三和式典,サンワシキテン,日野市栄町5-6-2,,,,(042)583-3375,,,,,,,
132128,7,,東京都日野市,JA東京みなみ（日野支店）,ジェイエートウキョウミナミヒノシテン,日野市三沢3-53-15,,,,(042)594-0355,,,,,,,
132128,8,,東京都日野市,JA東京みなみ（セレモニーセンター）,ジェイエートウキョウミナミセレモニーセンター,稲城市東長沼1915-2,,,,0120-118-774,,,,,,,
132128,9,,東京都日野市,西東京葬研,ニシトウキョウソウケン,日野市南平3-11-19,,,,(042)593-6099,,,,,,,
132128,10,,東京都日野市,葬援（日野市 葬儀相談センター）,ソウエンヒノシソウギソウダンセンター,日野市東豊田4-17-3,,,,(042)506-2300,,,,,,,
132128,11,,東京都日野市,いちょう葬縁,イチョウソウエン,日野市程久保8-49-3,,,,(042)506-7955,,,,,,,
132128,12,,東京都日野市,サン・ライフ ファミリーホール日野,サンライフファミリーホールヒノ,日野市多摩平6-17-11,,,,(042)589-0811,,,,,,,
132128,13,,東京都日野市,日野セレモニー,ヒノセレモニー,日野市大坂上2-5-7,,,,(042)806-9250,,,,,,,
