年月,西暦（年）,月,消費者物価指数/全国,消費者物価指数/東京都 区部,企業物価指数/総平均/全国, 注1) 消費動向指数/世帯消費動向指数（総世帯実質）/全国,生計分析調査（勤労者世帯）/実収入（円）/東京都,生計分析調査（勤労者世帯）/消費支出（円）/東京都,生計分析調査（勤労者世帯）/ 注3)平均消費性向（％）/東京都,生計分析調査（勤労者世帯）/ 注4)公共的料金負担率（％）/東京都, 注2) 実質賃金指数/調査産業計/東京都
平成16年平均,2004,,95.5,97.7,92.8,123.2,596372,362122,72.7,30.1,- 
平成17年平均,2005,,95.2,97.2,94.3,123.4,578340,352303,72.8,29.5,- 
平成18年平均,2006,,95.5,97.3,96.4,120.9,585818,350664,72.4,29.5,- 
平成19年平均,2007,,95.5,97.4,98.1,121.2,574514,346256,73,29.9,- 
平成20年平均,2008,,96.8,98.4,102.6,118.9,581293,343972,72.4,29.2,- 
平成21年平均,2009,,95.5,97.2,97.2,117.4,598723,359096,74.1,29.1,- 
平成22年平均,2010,,94.8,96.2,97.1,118.2,615748,363141,73.2,28.4,- 
平成23年平均,2011,,94.5,95.7,98.5,115.4,565071,337458,73.8,30.2,- 
平成24年平均,2012,,94.5,95.3,97.7,115.9,575440,348158,75.2,29.6,- 
平成25年平均,2013,,94.9,95.3,98.9,117.5,578628,363721,78.2,30,- 
平成26年平均,2014,,97.5,97.5,102.1,113.3,585636,353261,75.8,28.7,- 
平成27年平均,2015,,98.2,98.2,99.7,109.2,574733,354241,77,29.6,- 
平成28年平均,2016,,98.1,98.1,96.2,106.4,605530,356829,73.7,29.9,102.5
平成29年平均,2017,,98.6,98.2,98.4,105.3,580063,364470,77.9,28.7,103
平成30年平均,2018,,99.5,99.1,101,105.2,632404,353941,70.3,30.1,103.1
令和元年平均,2019,,100,99.9,101.2,105.2,673468,360606,66.8,29.2,101.8
令和2年平均,2020,,100,100,100,100,701538,343451,61.2,29,100
令和3年平均,2021,,99.8,99.8,104.6,100.5,730386,357123,61.2,26.9,101.2
令和4年平均,2022,,102.3,102.2,114.9,100,684038,350149,63.6,28.1,102.3
令和5年平均,2023,,105.6,105.4,119.7,98.8,720584,363224,63,28,- 
令和3年8月,2021,8,99.7,99.8,105.6,95.9,658737,325537,61.2,24.9,82.4
令和3年9月,2021,9,100.1,100.1,106,96.6,572048,335812,74.3,29.7,83
令和3年10月,2021,10,99.9,99.9,107.7,100.6,607627,363644,72.7,30.6,84.4
令和3年11月,2021,11,100.1,100,108.4,100.4,548535,342402,76.8,24.1,85.1
令和3年12月,2021,12,100.1,100.1,108.4,113.5,1226032,413398,40.9,23.7,182.1
令和4年1月,2022,1,100.3,100.3,109.5,99.1,529741,349962,81.7,24.9,83.5
