年月,西暦（年）,月,国/日本,国/アメリカ,国/カナダ,国/イギリス,国/ドイツ,国/フランス,国/イタリア,国/中国,国/韓国
前年比(%)/2017年平均,2017,,0.5,2.1,1.6,2.7,1.5,1,1.2,1.6,1.9
前年比(%)/2018年平均,2018,,1,2.4,2.3,2.5,1.8,1.8,1.2,2.1,1.5
前年比(%)/2019年平均,2019,,0.5,1.8,1.9,1.8,1.4,1.1,0.6,2.9,0.4
前年比(%)/2020年平均,2020,,0,1.2,0.7,0.9,0.5,0.5,-0.2,2.5,0.5
前年比(%)/2021年平均,2021,,-0.2,4.7,3.4,2.6,3.1,1.6,1.9,0.9,2.5
前年比(%)/2022年平均,2022,,2.5,8,6.8,9.1,6.9,5.2,8.1,2,5.1
前年比(%)/2023年平均,2023,,3.2,4.1,3.9,7.3,5.9,4.9,5.7,0.2,3.6
前年同月比(%)/令和4年2月,2022,2,0.9,7.9,5.7,6.2,4.3,3.6,5.7,0.9,3.8
前年同月比(%)/令和4年3月,2022,3,1.2,8.5,6.7,7,5.9,4.5,6.5,1.5,4.2
前年同月比(%)/令和4年4月,2022,4,2.5,8.3,6.8,9,6.3,4.8,6,2.1,4.8
前年同月比(%)/令和4年5月,2022,5,2.5,8.6,7.7,9.1,7,5.2,6.8,2.1,5.3
前年同月比(%)/令和4年6月,2022,6,2.4,9.1,8.1,9.4,6.7,5.8,8,2.5,6
前年同月比(%)/令和4年7月,2022,7,2.6,8.5,7.6,10.1,6.7,6.1,7.9,2.7,6.3
前年同月比(%)/令和4年8月,2022,8,3,8.3,7,9.9,7,5.9,8.4,2.5,5.7
前年同月比(%)/令和4年9月,2022,9,3,8.2,6.9,10.1,8.6,5.6,8.9,2.8,5.5
前年同月比(%)/令和4年10月,2022,10,3.7,7.7,6.9,11.1,8.8,6.2,11.8,2.1,5.6
前年同月比(%)/令和4年11月,2022,11,3.8,7.1,6.8,10.7,8.8,6.2,11.8,1.6,5
前年同月比(%)/令和4年12月,2022,12,4,6.5,6.3,10.5,8.1,5.9,11.6,1.8,5
前年同月比(%)/令和5年1月,2023,1,4.3,6.4,5.9,10.1,8.7,6,10,2.1,5
前年同月比(%)/令和5年2月,2023,2,3.3,6,5.2,10.4,8.7,6.3,9.1,1,4.7
前年同月比(%)/令和5年3月,2023,3,3.2,5,4.3,10.1,7.4,5.7,7.6,0.7,4.2
前年同月比(%)/令和5年4月,2023,4,3.5,4.9,4.4,8.7,7.2,5.9,8.2,0.1,3.7
前年同月比(%)/令和5年5月,2023,5,3.2,4,3.4,8.7,6.1,5.1,7.6,0.2,3.4
前年同月比(%)/令和5年6月,2023,6,3.3,3,2.8,7.9,6.4,4.5,6.4,0,2.7
前年同月比(%)/令和5年7月,2023,7,3.3,3.2,3.3,6.8,6.2,4.3,5.9,-0.3,2.4
前年同月比(%)/令和5年8月,2023,8,3.2,3.7,4,6.7,6.1,4.9,5.4,0.1,3.4
前年同月比(%)/令和5年9月,2023,9,3,3.7,3.8,6.7,4.5,4.9,5.3,0,3.7
前年同月比(%)/令和5年10月,2023,10,3.3,3.2,3.1,4.6,3.8,4,1.7,-0.2,3.8
前年同月比(%)/令和5年11月,2023,11,2.8,3.1,3.1,3.9,3.2,3.5,0.7,-0.5,3.3
前年同月比(%)/令和5年12月,2023,12,2.6,3.4,3.4,4,3.7,3.7,0.6,-0.3,3.2
前年同月比(%)/令和6年1月,2024,1,2.2,3.1,- ,4,2.9,3.1,- ,-0.8,2.8
,,,,,,,,,,,
東京の物価／令和6年2月分,,,,,,,,,,,
参考表４　主要国の消費者物価指数変化率,,,,,,,,,,,
資料　総務省統計局,,,,,,,,,,,
