"年度[西暦]","区分","視覚障害 18歳未満[人]","視覚障害 18歳以上[人]","聴覚・平衡機能障害 18歳未満[人]","聴覚・平衡機能障害 18歳以上[人]","音声・言語そしゃく機能障害 18歳未満[人]","音声・言語そしゃく機能障害 18歳以上[人]","肢体不自由 18歳未満[人]","肢体不自由 18歳以上[人]","心臓機能障害 18歳未満[人]","心臓機能障害 18歳以上[人]","じん臓機能障害 18歳未満[人]","じん臓機能障害 18歳以上[人]","呼吸器機能障害 18歳未満[人]","呼吸器機能障害 18歳以上[人]","ぼうこう直腸機能障害(小腸含む) 18歳未満[人]","ぼうこう直腸機能障害(小腸含む) 18歳以上[人]","免疫機能障害 18歳未満[人]","免疫機能障害 18歳以上[人]","肝臓機能障害 18歳未満[人]","肝臓機能障害 18歳以上[人]","18歳未満 合計[人]","18歳以上 合計[人]","合計[人]"
"2018","合計","6","320","22","362","1","60","85","2444","15","829","1","470","7","67","5","238","0","176","1","16","143","4982","5125"
"2019","合計","5","331","23","366","2","61","65","2391","12","853","2","461","8","70","7","250","0","184","0","19","124","4986","5110"
"2020","合計","9","322","23","364","1","58","91","2314","15","845","1","475","6","62","5","240","0","185","0","16","151","4881","5032"
"2021","合計","12","325","23","387","1","63","86","2209","18","839","1","462","5","58","2","226","0","190","0","16","148","4775","4923"
"2022","１級","3","71","0","1","0","0","25","215","15","583","1","434","4","15","1","5","0","21","0","12","49","1357","1406"
"2022","２級","2","141","10","96","0","0","31","474","0","0","0","0","0","0","0","0","0","71","0","1","43","783","826"
"2022","３級","1","22","3","40","0","37","19","575","2","119","0","7","1","26","1","13","0","52","0","1","27","892","919"
"2022","４級","1","24","1","127","1","24","6","560","5","123","0","3","1","16","1","219","0","45","0","1","16","1142","1158"
"2022","５級","5","65","10","3","0","0","7","217","0","0","0","0","0","0","0","0","0","0","0","0","22","285","307"
"2022","６級","0","12","0","120","0","0","2","109","0","0","0","0","0","0","0","0","0","0","0","0","2","241","243"
"2022","合計","12","335","24","387","1","61","90","2150","22","825","1","444","6","57","3","237","0","189","0","15","159","4700","4859"

"令和5年度港区行政資料集　身体障害者手帳所持者数","Ver202303",,,,,,,,,,,,,,,,,,,,,,,
