"年度[西暦]","款","予算現額[千円]","収入済額[千円]"
2013,"後期高齢者医療保険料",,2572117
2013,"使用料及び手数料",,0
2013,"繰入金",,1621435
2013,"繰越金",,26786
2013,"諸収入",,174437
2014,"後期高齢者医療保険料",,2782634
2014,"使用料及び手数料",,0
2014,"繰入金",,1678114
2014,"繰越金",,132879
2014,"諸収入",,93031
2015,"後期高齢者医療保険料",,2871052
2015,"使用料及び手数料",,0
2015,"繰入金",,1738265
2015,"繰越金",,102714
2015,"諸収入",,113562
2016,"後期高齢者医療保険料",3014372,3045375
2016,"使用料及び手数料",1,0
2016,"繰入金",1763199,1755922
2016,"繰越金",135966,135966
2016,"諸収入",106846,136557
2017,"後期高齢者医療保険料",3155687,3127714
2017,"使用料及び手数料",1,0
2017,"繰入金",1871208,1862396
2017,"繰越金",163182,163182
2017,"諸収入",115985,130401

"平成30年度港区行政資料集　後期高齢者医療会計歳入決算","Ver201803",,
