産業分類階層,大分類,中分類,小分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,総数／従業者数／うち常用雇用者／総数（人）,総数／従業者数／うち常用雇用者／男（人）,総数／従業者数／うち常用雇用者／女（人）,経営組織／個人／事業所数（事業所）,経営組織／個人／従業者数／総数（人）,経営組織／個人／従業者数／男（人）,経営組織／個人／従業者数／女（人）,経営組織／個人／従業者数／うち常用雇用者数／総数（人）,経営組織／個人／従業者数／うち常用雇用者数／男（人）,経営組織／個人／従業者数／うち常用雇用者数／女（人）,経営組織／法人／事業所数（事業所）,経営組織／法人／従業者数／総数（人）,経営組織／法人／従業者数／男（人）,経営組織／法人／従業者数／女（人）,経営組織／法人／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／従業者数／うち常用雇用者数／男（人）,経営組織／法人／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／事業所数（事業所）,経営組織／法人／会社／従業者数／総数（人）,経営組織／法人／会社／従業者数／男（人）,経営組織／法人／会社／従業者数／女（人）,経営組織／法人／会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／株式・有限・相互会社／事業所数（事業所）,経営組織／法人／会社／株式・有限・相互会社／従業者数／総数（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／男（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／女（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／株式・有限・相互会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／合名・合資会社／事業所数（事業所）,経営組織／法人／会社／合名・合資会社／従業者数／総数（人）,経営組織／法人／会社／合名・合資会社／従業者数／男（人）,経営組織／法人／会社／合名・合資会社／従業者数／女（人）,経営組織／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／合名・合資会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／合同会社／事業所数（事業所）,経営組織／法人／会社／合同会社／従業者数／総数（人）,経営組織／法人／会社／合同会社／従業者数／男（人）,経営組織／法人／会社／合同会社／従業者数／女（人）,経営組織／法人／会社／合同会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／合同会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／合同会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社／外国の会社／事業所数（事業所）,経営組織／法人／会社／外国の会社／従業者数／総数（人）,経営組織／法人／会社／外国の会社／従業者数／男（人）,経営組織／法人／会社／外国の会社／従業者数／女（人）,経営組織／法人／会社／外国の会社／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社／外国の会社／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社／外国の会社／従業者数／うち常用雇用者数／女（人）,経営組織／法人／会社以外の法人／事業所数（事業所）,経営組織／法人／会社以外の法人／従業者数／総数（人）,経営組織／法人／会社以外の法人／従業者数／男（人）,経営組織／法人／会社以外の法人／従業者数／女（人）,経営組織／法人／会社以外の法人／従業者数／うち常用雇用者数／総数（人）,経営組織／法人／会社以外の法人／従業者数／うち常用雇用者数／男（人）,経営組織／法人／会社以外の法人／従業者数／うち常用雇用者数／女（人）,経営組織／法人でない団体／事業所数（事業所）,経営組織／法人でない団体／従業者数／総数（人）,経営組織／法人でない団体／従業者数／男（人）,経営組織／法人でない団体／従業者数／女（人）,経営組織／法人でない団体／従業者数／うち常用雇用者数／総数（人）,経営組織／法人でない団体／従業者数／うち常用雇用者数／男（人）,経営組織／法人でない団体／従業者数／うち常用雇用者数／女（人）
0,A～R,00,000,全産業（Ｓ公務を除く）,621671,9005511,5277921,3669914,8028649,4638339,3333882,171975,511982,238418,270889,280351,96105,182240,447451,8482959,5034099,3393972,7739397,4537971,3147115,409997,7481679,4599664,2830903,6814190,4152795,2610856,405168,7416485,4564809,2801461,6755535,4122125,2583767,1705,10441,5821,4532,7812,4159,3566,2316,37893,20566,16676,34484,18427,15406,808,16860,8468,8234,16359,8084,8117,37454,1001280,434435,563069,925207,385176,536259,2245,10570,5404,5053,8901,4263,4527
1,A,00,000,農業，林業,455,3573,2661,891,2754,2047,686,-,-,-,-,-,-,-,454,3571,2659,891,2752,2045,686,427,3300,2451,828,2530,1875,634,424,3287,2441,825,2520,1868,631,-,-,-,-,-,-,-,2,9,8,1,7,6,1,1,4,2,2,3,1,2,27,271,208,63,222,170,52,1,2,2,-,2,2,-
2,A,01,000,農業,423,3323,2461,841,2553,1887,645,-,-,-,-,-,-,-,422,3321,2459,841,2551,1885,645,406,3153,2336,796,2419,1790,608,404,3148,2333,794,2416,1789,606,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,4,2,2,3,1,2,16,168,123,45,132,95,37,1,2,2,-,2,2,-
3,A,01,010,管理，補助的経済活動を行う事業所,10,76,52,24,69,46,23,-,-,-,-,-,-,-,10,76,52,24,69,46,23,9,72,49,23,66,44,22,9,72,49,23,66,44,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,3,1,3,2,1,-,-,-,-,-,-,-
3,A,01,011,耕種農業,56,476,294,173,380,229,142,-,-,-,-,-,-,-,56,476,294,173,380,229,142,53,451,281,161,362,218,135,52,447,279,159,359,217,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,2,3,1,2,3,25,13,12,18,11,7,-,-,-,-,-,-,-
3,A,01,012,畜産農業,19,191,101,90,158,84,74,-,-,-,-,-,-,-,19,191,101,90,158,84,74,18,188,99,89,156,83,73,18,188,99,89,156,83,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,1,2,1,1,-,-,-,-,-,-,-
3,A,01,013,農業サービス業（園芸サービス業を除く）,17,171,124,47,118,81,37,-,-,-,-,-,-,-,17,171,124,47,118,81,37,12,63,43,20,35,22,13,12,63,43,20,35,22,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,108,81,27,83,59,24,-,-,-,-,-,-,-
3,A,01,014,園芸サービス業,321,2409,1890,507,1828,1447,369,-,-,-,-,-,-,-,320,2407,1888,507,1826,1445,369,314,2379,1864,503,1800,1423,365,313,2378,1863,503,1800,1423,365,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,6,28,24,4,26,22,4,1,2,2,-,2,2,-
2,A,02,000,林業,32,250,200,50,201,160,41,-,-,-,-,-,-,-,32,250,200,50,201,160,41,21,147,115,32,111,85,26,20,139,108,31,104,79,25,-,-,-,-,-,-,-,1,8,7,1,7,6,1,-,-,-,-,-,-,-,11,103,85,18,90,75,15,-,-,-,-,-,-,-
3,A,02,020,管理，補助的経済活動を行う事業所,1,3,2,1,-,-,-,-,-,-,-,-,-,-,1,3,2,1,-,-,-,1,3,2,1,-,-,-,1,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,021,育林業,10,59,46,13,46,34,12,-,-,-,-,-,-,-,10,59,46,13,46,34,12,8,42,33,9,33,25,8,8,42,33,9,33,25,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,17,13,4,13,9,4,-,-,-,-,-,-,-
