地域階層,地域コード,地域名,産業分類階層,大分類,中分類,分類名,事業所数（事業所）,従業者数（人）,売上（収入）金額（百万円）
0,13000,東京都,1,A,00,農業，林業,392,3200,49900
0,13000,東京都,2,A,01,農業,361,2952,46696
0,13000,東京都,2,A,02,林業,31,248,3204
0,13000,東京都,1,B,00,漁業,8,60,1607
0,13000,東京都,2,B,03,漁業（水産養殖業を除く）,4,39,X
0,13000,東京都,2,B,04,水産養殖業,4,21,X
0,13000,東京都,1,C,00,鉱業，採石業，砂利採取業,64,1697,6234
0,13000,東京都,2,C,05,鉱業，採石業，砂利採取業,64,1697,6234
0,13000,東京都,1,D,00,建設業,35750,426029,…
0,13000,東京都,2,D,06,総合工事業,12908,180671,…
0,13000,東京都,2,D,07,職別工事業（設備工事業を除く）,12377,92062,…
0,13000,東京都,2,D,08,設備工事業,10453,153174,…
0,13000,東京都,1,E,00,製造業,39554,553585,15302924
0,13000,東京都,2,E,09,食料品製造業,1999,58218,1249287
0,13000,東京都,2,E,10,飲料・たばこ・飼料製造業,189,9698,709293
0,13000,東京都,2,E,11,繊維工業,2678,15360,256405
0,13000,東京都,2,E,12,木材・木製品製造業（家具を除く）,401,2027,29243
0,13000,東京都,2,E,13,家具・装備品製造業,1229,7419,147018
0,13000,東京都,2,E,14,パルプ・紙・紙加工品製造業,1430,12159,229473
0,13000,東京都,2,E,15,印刷・同関連業,6230,76114,1734238
0,13000,東京都,2,E,16,化学工業,958,48592,1847034
0,13000,東京都,2,E,17,石油製品・石炭製品製造業,53,5313,41043
0,13000,東京都,2,E,18,プラスチック製品製造業（別掲を除く）,1994,18869,314347
0,13000,東京都,2,E,19,ゴム製品製造業,664,11327,86586
0,13000,東京都,2,E,20,なめし革・同製品・毛皮製造業,1527,7611,133511
0,13000,東京都,2,E,21,窯業・土石製品製造業,675,10078,264408
0,13000,東京都,2,E,22,鉄鋼業,461,7834,206674
0,13000,東京都,2,E,23,非鉄金属製造業,540,7604,126920
0,13000,東京都,2,E,24,金属製品製造業,5140,37866,580643
0,13000,東京都,2,E,25,はん用機械器具製造業,1238,17919,441960
0,13000,東京都,2,E,26,生産用機械器具製造業,3162,32103,805786
0,13000,東京都,2,E,27,業務用機械器具製造業,1713,30205,549268
0,13000,東京都,2,E,28,電子部品・デバイス・電子回路製造業,923,16241,506699
0,13000,東京都,2,E,29,電気機械器具製造業,1770,39686,1015414
0,13000,東京都,2,E,30,情報通信機械器具製造業,456,20071,968059
0,13000,東京都,2,E,31,輸送用機械器具製造業,902,36647,2416949
0,13000,東京都,2,E,32,その他の製造業,3181,23859,597597
0,13000,東京都,1,F,00,電気・ガス・熱供給・水道業,367,21337,…
0,13000,東京都,2,F,33,電気業,105,9615,…
0,13000,東京都,2,F,34,ガス業,34,7147,…
0,13000,東京都,2,F,35,熱供給業,85,844,…
0,13000,東京都,2,F,36,水道業,143,3731,…
0,13000,東京都,1,G,00,情報通信業,17741,778607,…
0,13000,東京都,2,G,37,通信業,414,61592,…
0,13000,東京都,2,G,38,放送業,288,21556,…
0,13000,東京都,2,G,39,情報サービス業,9164,504612,14787551
0,13000,東京都,2,G,40,インターネット附随サービス業,1568,64007,2518444
0,13000,東京都,2,G,41,映像・音声・文字情報制作業,6278,126384,…
0,13000,東京都,1,H,00,運輸業，郵便業,13762,420144,…
0,13000,東京都,2,H,42,鉄道業,545,48174,…
0,13000,東京都,2,H,43,道路旅客運送業,4196,90005,…
0,13000,東京都,2,H,44,道路貨物運送業,5715,142501,…
0,13000,東京都,2,H,45,水運業,317,10930,…
0,13000,東京都,2,H,46,航空運輸業,107,31700,…
0,13000,東京都,2,H,47,倉庫業,915,17528,…
0,13000,東京都,2,H,48,運輸に附帯するサービス業,1910,58420,…
0,13000,東京都,2,H,49,郵便業（信書便事業を含む）,53,20860,…
0,13000,東京都,1,I,00,卸売業，小売業,136332,1863217,203144439
0,13000,東京都,2,I,50,各種商品卸売業,148,24302,26550127
0,13000,東京都,2,I,51,繊維・衣服等卸売業,5332,83764,4503457
0,13000,東京都,2,I,52,飲食料品卸売業,7836,134363,26975979
0,13000,東京都,2,I,53,建築材料，鉱物・金属材料等卸売業,10069,172752,52446016
0,13000,東京都,2,I,54,機械器具卸売業,12741,349300,47187779
0,13000,東京都,2,I,55,その他の卸売業,12639,248493,24201708
0,13000,東京都,2,I,56,各種商品小売業,266,45366,2422488
0,13000,東京都,2,I,57,織物・衣服・身の回り品小売業,15496,111048,1946164
0,13000,東京都,2,I,58,飲食料品小売業,27596,338611,5354366
0,13000,東京都,2,I,59,機械器具小売業,8373,67880,3750815
0,13000,東京都,2,I,60,その他の小売業,31721,225980,4681264
0,13000,東京都,2,I,61,無店舗小売業,3990,60245,3106247
0,13000,東京都,1,J,00,金融業，保険業,9772,395529,…
0,13000,東京都,2,J,62,銀行業,1544,101135,…
0,13000,東京都,2,J,63,協同組織金融業,1143,29765,…
0,13000,東京都,2,J,64,貸金業，クレジットカード業等非預金信用機関,919,42778,…
0,13000,東京都,2,J,65,金融商品取引業，商品先物取引業,1168,51437,…
0,13000,東京都,2,J,66,補助的金融業等,386,11908,…
0,13000,東京都,2,J,67,保険業（保険媒介代理業，保険サービス業を含む）,4608,158430,…
0,13000,東京都,1,K,00,不動産業，物品賃貸業,48710,318191,17958222
0,13000,東京都,2,K,68,不動産取引業,9651,81885,5521571
0,13000,東京都,2,K,69,不動産賃貸業・管理業,36476,178880,7449526
0,13000,東京都,2,K,70,物品賃貸業,2462,53190,4960832
0,13000,東京都,1,L,00,学術研究，専門・技術サービス業,33998,434958,18765709
0,13000,東京都,2,L,71,学術・開発研究機関,831,37174,623725
0,13000,東京都,2,L,72,専門サービス業（他に分類されないもの）,20837,213841,10738468
0,13000,東京都,2,L,73,広告業,2194,58224,4932831
0,13000,東京都,2,L,74,技術サービス業（他に分類されないもの）,10109,125473,2463154
0,13000,東京都,1,M,00,宿泊業，飲食サービス業,74233,754226,4484564
0,13000,東京都,2,M,75,宿泊業,2745,62741,947792
0,13000,東京都,2,M,76,飲食店,65402,618160,3223389
0,13000,東京都,2,M,77,持ち帰り・配達飲食サービス業,6051,72615,310250
0,13000,東京都,1,N,00,生活関連サービス業，娯楽業,40096,288346,10769432
0,13000,東京都,2,N,78,洗濯・理容・美容・浴場業,28131,114478,647414
0,13000,東京都,2,N,79,その他の生活関連サービス業,6033,66533,5036683
0,13000,東京都,2,N,80,娯楽業,5921,107284,5085021
0,13000,東京都,1,O,00,教育，学習支援業,15970,325593,…
0,13000,東京都,2,O,81,学校教育,2411,196145,…
0,13000,東京都,2,O,82,その他の教育，学習支援業,13559,129448,925881
0,13000,東京都,1,P,00,医療，福祉,43025,731746,20597871
0,13000,東京都,2,P,83,医療業,28987,406680,4235148
0,13000,東京都,2,P,84,保健衛生,311,10316,145383
0,13000,東京都,2,P,85,社会保険・社会福祉・介護事業,13686,314285,16212157
0,13000,東京都,1,Q,00,複合サービス事業,1709,33010,…
0,13000,東京都,2,Q,86,郵便局,1460,28787,…
0,13000,東京都,2,Q,87,協同組合（他に分類されないもの）,249,4223,93926
0,13000,東京都,1,R,00,サービス業（他に分類されないもの）,31767,928878,…
0,13000,東京都,2,R,88,廃棄物処理業,1109,23135,396577
0,13000,東京都,2,R,89,自動車整備業,2194,12754,174207
0,13000,東京都,2,R,90,機械等修理業（別掲を除く）,2678,41711,977238
0,13000,東京都,2,R,91,職業紹介・労働者派遣業,2492,247519,1853269
0,13000,東京都,2,R,92,その他の事業サービス業,13179,525018,7788024
0,13000,東京都,2,R,93,政治・経済・文化団体,4721,48595,…
0,13000,東京都,2,R,94,宗教,4987,23882,…
0,13000,東京都,2,R,95,その他のサービス業,267,4045,75549
1,13100,区部,1,A,00,農業，林業,186,1587,35521
1,13100,区部,2,A,01,農業,175,1530,34773
1,13100,区部,2,A,02,林業,11,57,748
1,13100,区部,1,B,00,漁業,5,43,1496
1,13100,区部,2,B,03,漁業（水産養殖業を除く）,4,39,X
1,13100,区部,2,B,04,水産養殖業,1,4,X
1,13100,区部,1,C,00,鉱業，採石業，砂利採取業,53,1546,1530
1,13100,区部,2,C,05,鉱業，採石業，砂利採取業,53,1546,1530
1,13100,区部,1,D,00,建設業,24972,356168,…
1,13100,区部,2,D,06,総合工事業,8481,147726,…
1,13100,区部,2,D,07,職別工事業（設備工事業を除く）,8775,73365,…
1,13100,区部,2,D,08,設備工事業,7708,134964,…
1,13100,区部,1,E,00,製造業,33126,411130,9724756
1,13100,区部,2,E,09,食料品製造業,1509,37991,796074
1,13100,区部,2,E,10,飲料・たばこ・飼料製造業,127,8604,573866
1,13100,区部,2,E,11,繊維工業,2419,13829,242226
1,13100,区部,2,E,12,木材・木製品製造業（家具を除く）,343,1747,25859
1,13100,区部,2,E,13,家具・装備品製造業,958,5335,59643
1,13100,区部,2,E,14,パルプ・紙・紙加工品製造業,1339,10881,202578
1,13100,区部,2,E,15,印刷・同関連業,5747,68369,1577131
1,13100,区部,2,E,16,化学工業,850,45804,1726897
1,13100,区部,2,E,17,石油製品・石炭製品製造業,39,5191,23828
1,13100,区部,2,E,18,プラスチック製品製造業（別掲を除く）,1663,15432,252603
1,13100,区部,2,E,19,ゴム製品製造業,645,8292,62012
1,13100,区部,2,E,20,なめし革・同製品・毛皮製造業,1497,7520,132813
1,13100,区部,2,E,21,窯業・土石製品製造業,502,8094,175915
1,13100,区部,2,E,22,鉄鋼業,410,7192,171197
1,13100,区部,2,E,23,非鉄金属製造業,457,6417,95779
1,13100,区部,2,E,24,金属製品製造業,4426,32116,501029
1,13100,区部,2,E,25,はん用機械器具製造業,1023,13016,341502
1,13100,区部,2,E,26,生産用機械器具製造業,2493,24114,586367
1,13100,区部,2,E,27,業務用機械器具製造業,1270,22147,391221
1,13100,区部,2,E,28,電子部品・デバイス・電子回路製造業,508,7435,194286
1,13100,区部,2,E,29,電気機械器具製造業,1197,19662,262200
1,13100,区部,2,E,30,情報通信機械器具製造業,300,10577,277679
1,13100,区部,2,E,31,輸送用機械器具製造業,637,11364,575993
1,13100,区部,2,E,32,その他の製造業,2731,19298,431096
1,13100,区部,1,F,00,電気・ガス・熱供給・水道業,288,18478,…
1,13100,区部,2,F,33,電気業,85,8121,…
1,13100,区部,2,F,34,ガス業,27,6699,…
1,13100,区部,2,F,35,熱供給業,79,798,…
1,13100,区部,2,F,36,水道業,97,2860,…
1,13100,区部,1,G,00,情報通信業,16054,743691,…
1,13100,区部,2,G,37,通信業,374,60611,…
1,13100,区部,2,G,38,放送業,254,20843,…
1,13100,区部,2,G,39,情報サービス業,8153,475995,14208234
1,13100,区部,2,G,40,インターネット附随サービス業,1465,63310,2511835
1,13100,区部,2,G,41,映像・音声・文字情報制作業,5782,122483,…
1,13100,区部,1,H,00,運輸業，郵便業,11665,352081,…
1,13100,区部,2,H,42,鉄道業,422,40906,…
1,13100,区部,2,H,43,道路旅客運送業,3736,71381,…
1,13100,区部,2,H,44,道路貨物運送業,4565,112270,…
1,13100,区部,2,H,45,水運業,307,10880,…
1,13100,区部,2,H,46,航空運輸業,93,31519,…
1,13100,区部,2,H,47,倉庫業,788,14710,…
1,13100,区部,2,H,48,運輸に附帯するサービス業,1710,53580,…
1,13100,区部,2,H,49,郵便業（信書便事業を含む）,41,16829,…
1,13100,区部,1,I,00,卸売業，小売業,108741,1586122,194093881
1,13100,区部,2,I,50,各種商品卸売業,134,24116,26544424
1,13100,区部,2,I,51,繊維・衣服等卸売業,5099,82450,4467851
1,13100,区部,2,I,52,飲食料品卸売業,6802,123493,25960787
1,13100,区部,2,I,53,建築材料，鉱物・金属材料等卸売業,8803,163239,51729158
1,13100,区部,2,I,54,機械器具卸売業,11025,326268,45247602
1,13100,区部,2,I,55,その他の卸売業,11268,236467,23234490
1,13100,区部,2,I,56,各種商品小売業,190,33534,2004711
1,13100,区部,2,I,57,織物・衣服・身の回り品小売業,12055,89797,1606169
1,13100,区部,2,I,58,飲食料品小売業,20889,243479,4038154
1,13100,区部,2,I,59,機械器具小売業,5570,46362,2820848
1,13100,区部,2,I,60,その他の小売業,23613,163441,3563902
