地域階層,地域コード,地域名,産業分類階層,大分類,中分類,小分類,分類名,企業常用雇用者規模階層,企業常用雇用者規模コード,企業常用雇用者規模,個人及び会社企業／企業数（企業）,個人及び会社企業／事業所数（事業所）,個人及び会社企業／企業従業者数（人）,個人／企業数（企業）,個人／事業所数（事業所）,個人／企業従業者数（人）,会社企業／総数／企業数（企業）,会社企業／総数／企業数のうち単一事業所企業（企業）,会社企業／総数／企業数のうち複数事業所企業（企業）,会社企業／総数／事業所数（事業所）,会社企業／総数／企業従業者数（人）,会社企業／資本金階級／300万円未満／企業数（企業）,会社企業／資本金階級／300万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／300万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／300万円未満／事業所数（事業所）,会社企業／資本金階級／300万円未満／企業従業者数（人）,会社企業／資本金階級／300万～500万円未満／企業数（企業）,会社企業／資本金階級／300万～500万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／300万～500万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／300万～500万円未満／事業所数（事業所）,会社企業／資本金階級／300万～500万円未満／企業従業者数（人）,会社企業／資本金階級／500万～1000万円未満／企業数（企業）,会社企業／資本金階級／500万～1000万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／500万～1000万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／500万～1000万円未満／事業所数（事業所）,会社企業／資本金階級／500万～1000万円未満／企業従業者数（人）,会社企業／資本金階級／1000万～3000万円未満／企業数（企業）,会社企業／資本金階級／1000万～3000万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／1000万～3000万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／1000万～3000万円未満／事業所数（事業所）,会社企業／資本金階級／1000万～3000万円未満／企業従業者数（人）,会社企業／資本金階級／3000万～5000万円未満／企業数（企業）,会社企業／資本金階級／3000万～5000万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／3000万～5000万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／3000万～5000万円未満／事業所数（事業所）,会社企業／資本金階級／3000万～5000万円未満／企業従業者数（人）,会社企業／資本金階級／5000万～1億円未満／企業数（企業）,会社企業／資本金階級／5000万～1億円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／5000万～1億円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／5000万～1億円未満／事業所数（事業所）,会社企業／資本金階級／5000万～1億円未満／企業従業者数（人）,会社企業／資本金階級／1億～3億円未満／企業数（企業）,会社企業／資本金階級／1億～3億円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／1億～3億円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／1億～3億円未満／事業所数（事業所）,会社企業／資本金階級／1億～3億円未満／企業従業者数（人）,会社企業／資本金階級／3億～10億円未満／企業数（企業）,会社企業／資本金階級／3億～10億円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／3億～10億円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／3億～10億円未満／事業所数（事業所）,会社企業／資本金階級／3億～10億円未満／企業従業者数（人）,会社企業／資本金階級／10億～50億円未満／企業数（企業）,会社企業／資本金階級／10億～50億円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／10億～50億円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／10億～50億円未満／事業所数（事業所）,会社企業／資本金階級／10億～50億円未満／企業従業者数（人）,会社企業／資本金階級／50億円以上／企業数（企業）,会社企業／資本金階級／50億円以上／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／50億円以上／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／50億円以上／事業所数（事業所）,会社企業／資本金階級／50億円以上／企業従業者数（人）,会社企業／資本金階級／（再掲）1000万円以下／企業数（企業）,会社企業／資本金階級／（再掲）1000万円以下／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／（再掲）1000万円以下／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／（再掲）1000万円以下／事業所数（事業所）,会社企業／資本金階級／（再掲）1000万円以下／企業従業者数（人）,会社企業／資本金階級／（再掲）5000万円以下／企業数（企業）,会社企業／資本金階級／（再掲）5000万円以下／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／（再掲）5000万円以下／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／（再掲）5000万円以下／事業所数（事業所）,会社企業／資本金階級／（再掲）5000万円以下／企業従業者数（人）,会社企業／資本金階級／（再掲）1億円以下／企業数（企業）,会社企業／資本金階級／（再掲）1億円以下／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／（再掲）1億円以下／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／（再掲）1億円以下／事業所数（事業所）,会社企業／資本金階級／（再掲）1億円以下／企業従業者数（人）,会社企業／資本金階級／（再掲）3億円以下／企業数（企業）,会社企業／資本金階級／（再掲）3億円以下／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／（再掲）3億円以下／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／（再掲）3億円以下／事業所数（事業所）,会社企業／資本金階級／（再掲）3億円以下／企業従業者数（人）
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,0,00,全ての規模,12936,17438,164301,5978,6031,17150,6958,5897,1061,11407,147151,415,381,34,475,2874,2431,2270,161,2685,13121,728,659,69,814,5453,2613,2137,476,3528,40085,278,168,110,702,14545,204,82,122,1006,28118,59,22,37,600,11621,24,6,18,545,12016,12,2,10,577,8000,4,1,3,96,9539,5672,5078,594,6572,47608,6542,5647,895,8683,84477,6708,5711,997,9689,113771,6732,5719,1013,9846,117689
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,01,0～4人,9873,10026,25915,5480,5501,11704,4393,4217,176,4525,14211,304,293,11,310,873,1941,1879,62,2002,5706,523,505,18,532,1643,1388,1319,69,1434,5238,68,63,5,70,258,35,31,4,37,122,11,11,-,11,41,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,3983,3835,148,4099,12795,4235,4068,167,4361,13765,4267,4098,169,4393,13870,4270,4101,169,4396,13881
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,02,5～9人,1398,1572,11758,359,373,2719,1039,871,168,1199,9039,48,42,6,52,399,292,257,35,326,2417,106,87,19,125,902,501,410,91,591,4519,40,33,7,45,381,15,10,5,19,127,3,2,1,3,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,835,707,128,961,7162,994,833,161,1147,8677,1003,839,164,1159,8752,1005,841,164,1161,8771
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,03,10～19人,766,977,12139,104,107,1530,662,493,169,870,10609,27,25,2,29,385,120,93,27,154,1890,67,52,15,83,1060,344,250,94,460,5600,54,37,17,75,891,25,15,10,40,430,1,1,-,1,15,2,2,-,2,26,-,-,-,-,-,-,-,-,-,-,461,350,111,596,7332,623,465,158,815,10020,637,472,165,841,10256,638,473,165,842,10271
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,04,20～29人,308,525,8467,26,29,649,282,158,124,496,7818,21,18,3,27,520,44,30,14,71,1099,14,8,6,26,372,153,83,70,266,4429,21,7,14,48,578,20,7,13,41,563,3,2,1,5,83,1,-,1,3,28,-,-,-,-,-,-,-,-,-,-,193,121,72,316,5359,265,150,115,461,7355,275,154,121,483,7618,276,155,121,484,7644
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,05,30～49人,239,613,10001,7,8,282,232,88,144,605,9719,12,3,9,35,471,20,7,13,57,745,11,6,5,18,462,116,43,73,272,4895,34,12,22,99,1470,26,9,17,100,1114,6,4,2,13,260,1,-,1,2,39,3,2,1,4,137,-,-,-,-,-,111,40,71,276,4558,200,74,126,524,8348,224,84,140,591,9376,225,84,141,594,9417
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,06,50～99人,170,553,12219,1,1,66,169,43,126,552,12153,3,-,3,22,226,11,3,8,36,703,4,-,4,21,325,68,22,46,203,4771,31,11,20,91,2210,35,4,31,128,2610,11,2,9,28,904,3,-,3,17,213,-,-,-,-,-,-,-,-,-,-,62,17,45,184,4261,130,37,93,420,9306,159,41,118,523,11452,165,42,123,537,11897
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,07,100～299人,122,761,21494,1,12,200,121,23,98,749,21294,-,-,-,-,-,3,1,2,39,561,2,1,1,5,335,34,8,26,177,6157,22,5,17,114,3865,33,6,27,169,5399,17,-,17,165,3218,8,2,6,64,1379,2,-,2,16,380,-,-,-,-,-,23,6,17,132,4284,73,18,55,415,13074,104,21,83,602,18288,112,21,91,684,19643
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,08,300～999人,47,1133,27014,-,-,-,47,4,43,1133,27014,-,-,-,-,-,-,-,-,-,-,1,-,1,4,354,9,2,7,125,4476,8,-,8,160,4892,13,-,13,354,7923,4,-,4,111,1593,5,1,4,64,2962,5,-,5,147,3614,1,1,-,1,792,4,2,2,8,1857,21,2,19,468,12792,34,2,32,716,18848,35,2,33,754,19238
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,09,1000人～1999人,6,460,7705,-,-,-,6,-,6,460,7705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,72,1140,2,-,2,85,2296,1,-,1,13,1616,1,-,1,284,1643,1,-,1,6,1010,-,-,-,-,-,1,-,1,72,1140,3,-,3,157,3436,4,-,4,170,5052
4,13119,板橋区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,10,2000人～4999人,5,709,13784,-,-,-,5,-,5,709,13784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,178,3185,2,-,2,379,5751,1,-,1,126,2226,1,-,1,26,2622,-,-,-,-,-,-,-,-,-,-,1,-,1,178,3185,1,-,1,178,3185
