産業分類階層,大分類,中分類,分類名,資本金階級階層,資本金階級コード,資本金階級範囲,会社企業／総数（企業）,外国資本比率／０％／企業数（企業）,外国資本比率／０％超～10％未満／企業数（企業）,外国資本比率／10％以上～20％未満／企業数（企業）,外国資本比率／20％以上～30％未満／企業数（企業）,外国資本比率／30％以上～50％未満／企業数（企業）,外国資本比率／50％／企業数（企業）,外国資本比率／50％超～100％未満／企業数（企業）,外国資本比率／100％／企業数（企業）
0,A～R,00,全産業（Ｓ公務を除く）,0,00,合計（資本金額が不詳含む）,248512,214756,746,411,242,310,110,435,2427
0,A～R,00,全産業（Ｓ公務を除く）,1,01,300万円未満,14024,11371,10,5,-,3,5,10,109
0,A～R,00,全産業（Ｓ公務を除く）,1,02,300万～500万円未満,73538,68616,19,5,7,9,8,8,187
0,A～R,00,全産業（Ｓ公務を除く）,1,03,500万～1000万円未満,23398,20774,8,8,3,9,7,23,172
0,A～R,00,全産業（Ｓ公務を除く）,1,04,1000万～3000万円未満,91525,85088,49,47,26,56,28,118,688
0,A～R,00,全産業（Ｓ公務を除く）,1,05,3000万～5000万円未満,11521,10585,18,23,12,21,11,43,166
0,A～R,00,全産業（Ｓ公務を除く）,1,06,5000万～1億円未満,10729,9602,32,33,5,21,11,74,356
0,A～R,00,全産業（Ｓ公務を除く）,1,07,1億～3億円未満,5541,4754,42,28,13,26,14,63,342
0,A～R,00,全産業（Ｓ公務を除く）,1,08,3億～10億円未満,2954,2281,158,35,17,22,12,45,262
0,A～R,00,全産業（Ｓ公務を除く）,1,09,10億～50億円未満,1690,1091,274,85,34,23,11,22,85
0,A～R,00,全産業（Ｓ公務を除く）,1,10,50億円以上,1236,594,136,142,125,120,3,29,60
1,A,00,農業，林業,0,00,合計（資本金額が不詳含む）,388,343,-,-,-,-,1,-,-
1,A,00,農業，林業,1,01,300万円未満,25,21,-,-,-,-,-,-,-
1,A,00,農業，林業,1,02,300万～500万円未満,144,134,-,-,-,-,-,-,-
1,A,00,農業，林業,1,03,500万～1000万円未満,55,49,-,-,-,-,1,-,-
1,A,00,農業，林業,1,04,1000万～3000万円未満,108,102,-,-,-,-,-,-,-
1,A,00,農業，林業,1,05,3000万～5000万円未満,11,11,-,-,-,-,-,-,-
1,A,00,農業，林業,1,06,5000万～1億円未満,14,14,-,-,-,-,-,-,-
1,A,00,農業，林業,1,07,1億～3億円未満,11,8,-,-,-,-,-,-,-
