産業分類階層,大分類,中分類,小分類,分類名,会社企業／総数／企業数（企業）,会社企業／総数／従業者数（人）,会社企業／単一事業所企業／企業数（企業）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／複数事業所企業／企業数（企業）,会社企業／複数事業所企業／企業従業者数（人）,資本金階級／300万円未満／総数／企業数（企業）,資本金階級／300万円未満／総数／企業従業者数（人）,資本金階級／300万円未満／単一事業所企業／企業数（企業）,資本金階級／300万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万円未満／複数事業所企業／企業数（企業）,資本金階級／300万円未満／複数事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／総数／企業数（企業）,資本金階級／300万～500万円未満／総数／企業従業者数（人）,資本金階級／300万～500万円未満／単一事業所企業／企業数（企業）,資本金階級／300万～500万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／複数事業所企業／企業数（企業）,資本金階級／300万～500万円未満／複数事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／総数／企業数（企業）,資本金階級／500万～1000万円未満／総数／企業従業者数（人）,資本金階級／500万～1000万円未満／単一事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／複数事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／総数／企業数（企業）,資本金階級／1000万～3000万円未満／総数／企業従業者数（人）,資本金階級／1000万～3000万円未満／単一事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／複数事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／総数／企業数（企業）,資本金階級／3000万～5000万円未満／総数／企業従業者数（人）,資本金階級／3000万～5000万円未満／単一事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／複数事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／総数／企業数（企業）,資本金階級／5000万～1億円未満／総数／企業従業者数（人）,資本金階級／5000万～1億円未満／単一事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／単一事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／複数事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／複数事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／総数／企業数（企業）,資本金階級／1億～3億円未満／総数／企業従業者数（人）,資本金階級／1億～3億円未満／単一事業所企業／企業数（企業）,資本金階級／1億～3億円未満／単一事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／複数事業所企業／企業数（企業）,資本金階級／1億～3億円未満／複数事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／総数／企業数（企業）,資本金階級／3億～10億円未満／総数／企業従業者数（人）,資本金階級／3億～10億円未満／単一事業所企業／企業数（企業）,資本金階級／3億～10億円未満／単一事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／複数事業所企業／企業数（企業）,資本金階級／3億～10億円未満／複数事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／総数／企業数（企業）,資本金階級／10億～50億円未満／総数／企業従業者数（人）,資本金階級／10億～50億円未満／単一事業所企業／企業数（企業）,資本金階級／10億～50億円未満／単一事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／複数事業所企業／企業数（企業）,資本金階級／10億～50億円未満／複数事業所企業／企業従業者数（人）,資本金階級／50億円以上／総数／企業数（企業）,資本金階級／50億円以上／総数／企業従業者数（人）,資本金階級／50億円以上／単一事業所企業／企業数（企業）,資本金階級／50億円以上／単一事業所企業／企業従業者数（人）,資本金階級／50億円以上／複数事業所企業／企業数（企業）,資本金階級／50億円以上／複数事業所企業／企業従業者数（人）
0,A～R,00,000,全産業（Ｓ公務を除く）,248512,12737414,202329,1676021,46183,11061393,14024,93498,12703,62975,1321,30523,73538,419954,68036,316886,5502,103068,23398,191668,20844,119260,2554,72408,91525,1725579,74684,687672,16841,1037907,11521,607777,6839,129998,4682,477779,10729,1284935,4792,112487,5937,1172448,5541,1696985,1949,77193,3592,1619792,2954,1180080,832,40992,2122,1139088,1690,1335385,327,22602,1363,1312783,1236,4081908,194,30092,1042,4051816
1,A,00,000,農業，林業,388,6353,339,2447,49,3906,25,112,23,104,2,8,144,893,140,849,4,44,55,335,53,313,2,22,108,1912,92,945,16,967,11,195,10,136,1,59,14,796,3,21,11,775,11,684,3,22,8,662,3,305,-,-,3,305,2,1061,1,7,1,1054,-,-,-,-,-,-
2,A,01,000,農業,367,6060,327,2348,40,3712,21,79,19,71,2,8,141,865,137,821,4,44,54,325,53,313,1,12,101,1864,88,911,13,953,11,195,10,136,1,59,12,782,3,21,9,761,9,538,3,22,6,516,3,305,-,-,3,305,2,1061,1,7,1,1054,-,-,-,-,-,-
3,A,01,011,耕種農業,50,725,38,315,12,410,4,8,3,6,1,2,11,120,9,85,2,35,9,47,9,47,-,-,11,149,8,126,3,23,-,-,-,-,-,-,6,307,2,18,4,289,5,83,3,22,2,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,012,畜産農業,22,2018,8,23,14,1995,-,-,-,-,-,-,5,17,5,17,-,-,2,13,1,1,1,12,3,14,2,5,1,9,-,-,-,-,-,-,4,160,-,-,4,160,4,455,-,-,4,455,3,305,-,-,3,305,1,1054,-,-,1,1054,-,-,-,-,-,-
3,A,01,013,農業サービス業（園芸サービス業を除く）,11,782,9,39,2,743,2,9,2,9,-,-,3,12,2,7,1,5,-,-,-,-,-,-,4,753,3,15,1,738,2,8,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,014,園芸サービス業,284,2535,272,1971,12,564,15,62,14,56,1,6,122,716,121,712,1,4,43,265,43,265,-,-,83,948,75,765,8,183,9,187,8,128,1,59,2,315,1,3,1,312,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,-,-,-,-,-,-
2,A,02,000,林業,21,293,12,99,9,194,4,33,4,33,-,-,3,28,3,28,-,-,1,10,-,-,1,10,7,48,4,34,3,14,-,-,-,-,-,-,2,14,-,-,2,14,2,146,-,-,2,146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,021,育林業,9,117,3,25,6,92,-,-,-,-,-,-,1,7,1,7,-,-,-,-,-,-,-,-,5,32,2,18,3,14,-,-,-,-,-,-,1,4,-,-,1,4,1,64,-,-,1,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,022,素材生産業,2,16,1,6,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,1,6,-,-,-,-,-,-,-,-,1,10,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,023,特用林産物生産業（きのこ類の栽培を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,024,林業サービス業,10,160,8,68,2,92,4,33,4,33,-,-,2,21,2,21,-,-,1,10,-,-,1,10,1,10,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,82,-,-,1,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
