産業分類階層,大分類,分類名,企業常用雇用者規模階層,企業常用雇用者規模コード,企業常用雇用者規模,会社企業／総数／企業数（企業）,会社企業／総数／企業従業者数（人）,資本金階級／300万円未満／企業数（企業）,資本金階級／300万円未満／企業従業者数（人）,資本金階級／300万～500万円未満／企業数（企業）,資本金階級／300万～500万円未満／企業従業者数（人）,資本金階級／500万～1000万円未満／企業数（企業）,資本金階級／500万～1000万円未満／企業従業者数（人）,資本金階級／1000万～3000万円未満／企業数（企業）,資本金階級／1000万～3000万円未満／企業従業者数（人）,資本金階級／3000万～5000万円未満／企業数（企業）,資本金階級／3000万～5000万円未満／企業従業者数（人）,資本金階級／5000万～１億円未満／企業数（企業）,資本金階級／5000万～１億円未満／企業従業者数（人）,資本金階級／１億～３億円未満／企業数（企業）,資本金階級／１億～３億円未満／企業従業者数（人）,資本金階級／３億～10億円未満／企業数（企業）,資本金階級／３億～10億円未満／企業従業者数（人）,資本金階級／10億～50億円未満／企業数（企業）,資本金階級／10億～50億円未満／企業従業者数（人）,資本金階級／50億円以上／企業数（企業）,資本金階級／50億円以上／企業従業者数（人）
0,A～R,全産業（Ｓ公務を除く）,0,00,全ての規模,248512,12737414,14024,93498,73538,419954,23398,191668,91525,1725579,11521,607777,10729,1284935,5541,1696985,2954,1180080,1690,1335385,1236,4081908
0,A～R,全産業（Ｓ公務を除く）,1,01,1～4人,117973,286935,8968,19650,48832,115495,13100,32526,36408,93199,2055,5347,1392,3555,511,1245,144,355,56,119,26,51
0,A～R,全産業（Ｓ公務を除く）,1,02,5～9人,55319,360537,2827,18216,15402,98375,5991,38781,24021,158169,2019,13760,1295,8750,471,3173,142,963,30,212,20,140
0,A～R,全産業（Ｓ公務を除く）,1,03,10～19人,31525,423937,1353,17954,6050,79457,2712,35811,15173,204427,2250,31552,1454,20406,552,7819,216,3016,71,993,36,495
0,A～R,全産業（Ｓ公務を除く）,1,04,20～29人,11892,283526,415,9757,1675,39470,718,16950,5717,136326,1202,28999,1032,24925,370,8953,171,4146,59,1446,34,839
0,A～R,全産業（Ｓ公務を除く）,1,05,30～49人,10368,394528,251,9446,980,36439,491,18428,4657,176263,1377,52749,1339,52100,582,22596,236,9230,96,3827,39,1523
0,A～R,全産業（Ｓ公務を除く）,1,06,50～99人,8775,612083,119,7772,416,27551,245,16289,3223,221787,1372,95846,1735,122602,835,60498,441,32219,166,12110,54,3890
0,A～R,全産業（Ｓ公務を除く）,1,07,100～299人,7253,1227570,41,6000,136,19960,97,15094,1710,271662,900,147705,1662,282891,1270,221658,814,146394,399,76018,128,24838
0,A～R,全産業（Ｓ公務を除く）,1,08,300～999人,3314,1786410,9,4703,8,3207,22,10356,377,191682,266,136298,611,318774,594,314180,555,300428,528,296888,326,200772
0,A～R,全産業（Ｓ公務を除く）,1,09,1000人～1999人,827,1158090,-,-,-,-,1,1019,64,91616,36,48615,98,136607,170,234140,128,178095,147,203684,181,261700
0,A～R,全産業（Ｓ公務を除く）,1,10,2000人～4999人,572,1764643,-,-,-,-,-,-,21,62882,12,35153,57,168698,114,334644,64,196627,96,293713,208,672926
0,A～R,全産業（Ｓ公務を除く）,1,11,5000人以上,313,4439155,-,-,-,-,1,6414,11,117566,2,11753,17,145627,37,488079,28,308607,38,446375,179,2914734
0,A～R,全産業（Ｓ公務を除く）,1,12,出向・派遣従業者のみ,381,-,41,-,39,-,20,-,143,-,30,-,37,-,35,-,15,-,4,-,5,-
