地域階層,地域コード,地域名,産業分類階層,大分類,中分類,分類名,総数／事業所数（事業所）,総数／従業者数／総数（人）,総数／従業者数／男（人）,総数／従業者数／女（人）,総数／従業者数のうち常用雇用者数／総数（人）,総数／従業者数のうち常用雇用者数／男（人）,総数／従業者数のうち常用雇用者数／女（人）,従業者規模／１～４人／事業所数（事業所）,従業者規模／１～４人／従業者数／総数（人）,従業者規模／１～４人／従業者数／男（人）,従業者規模／１～４人／従業者数／女（人）,従業者規模／１～４人／従業者数のうち常用雇用者数／総数（人）,従業者規模／１～４人／従業者数のうち常用雇用者数／男（人）,従業者規模／１～４人／従業者数のうち常用雇用者数／女（人）,従業者規模／５～９人／事業所数（事業所）,従業者規模／５～９人／従業者数／総数（人）,従業者規模／５～９人／従業者数／男（人）,従業者規模／５～９人／従業者数／女（人）,従業者規模／５～９人／従業者数のうち常用雇用者数／総数（人）,従業者規模／５～９人／従業者数のうち常用雇用者数／男（人）,従業者規模／５～９人／従業者数のうち常用雇用者数／女（人）,従業者規模／10～19人／事業所数（事業所）,従業者規模／10～19人／従業者数／総数（人）,従業者規模／10～19人／従業者数／男（人）,従業者規模／10～19人／従業者数／女（人）,従業者規模／10～19人／従業者数のうち常用雇用者数／総数（人）,従業者規模／10～19人／従業者数のうち常用雇用者数／男（人）,従業者規模／10～19人／従業者数のうち常用雇用者数／女（人）,従業者規模／20～29人／事業所数（事業所）,従業者規模／20～29人／従業者数／総数（人）,従業者規模／20～29人／従業者数／男（人）,従業者規模／20～29人／従業者数／女（人）,従業者規模／20～29人／従業者数のうち常用雇用者数／総数（人）,従業者規模／20～29人／従業者数のうち常用雇用者数／男（人）,従業者規模／20～29人／従業者数のうち常用雇用者数／女（人）,従業者規模／30～49人／事業所数（事業所）,従業者規模／30～49人／従業者数／総数（人）,従業者規模／30～49人／従業者数／男（人）,従業者規模／30～49人／従業者数／女（人）,従業者規模／30～49人／従業者数のうち常用雇用者数／総数（人）,従業者規模／30～49人／従業者数のうち常用雇用者数／男（人）,従業者規模／30～49人／従業者数のうち常用雇用者数／女（人）,従業者規模／50～99人／事業所数（事業所）,従業者規模／50～99人／従業者数／総数（人）,従業者規模／50～99人／従業者数／男（人）,従業者規模／50～99人／従業者数／女（人）,従業者規模／50～99人／従業者数のうち常用雇用者数／総数（人）,従業者規模／50～99人／従業者数のうち常用雇用者数／男（人）,従業者規模／50～99人／従業者数のうち常用雇用者数／女（人）,従業者規模／100～199人／事業所数（事業所）,従業者規模／100～199人／従業者数／総数（人）,従業者規模／100～199人／従業者数／男（人）,従業者規模／100～199人／従業者数／女（人）,従業者規模／100～199人／従業者数のうち常用雇用者数／総数（人）,従業者規模／100～199人／従業者数のうち常用雇用者数／男（人）,従業者規模／100～199人／従業者数のうち常用雇用者数／女（人）,従業者規模／200～299人／事業所数（事業所）,従業者規模／200～299人／従業者数／総数（人）,従業者規模／200～299人／従業者数／男（人）,従業者規模／200～299人／従業者数／女（人）,従業者規模／200～299人／従業者数のうち常用雇用者数／総数（人）,従業者規模／200～299人／従業者数のうち常用雇用者数／男（人）,従業者規模／200～299人／従業者数のうち常用雇用者数／女（人）,従業者規模／300～499人／事業所数（事業所）,従業者規模／300～499人／従業者数／総数（人）,従業者規模／300～499人／従業者数／男（人）,従業者規模／300～499人／従業者数／女（人）,従業者規模／300～499人／従業者数のうち常用雇用者数／総数（人）,従業者規模／300～499人／従業者数のうち常用雇用者数／男（人）,従業者規模／300～499人／従業者数のうち常用雇用者数／女（人）,従業者規模／500人以上／事業所数（事業所）,従業者規模／500人以上／従業者数／総数（人）,従業者規模／500人以上／従業者数／男（人）,従業者規模／500人以上／従業者数／女（人）,従業者規模／500人以上／従業者数のうち常用雇用者数／総数（人）,従業者規模／500人以上／従業者数のうち常用雇用者数／男（人）,従業者規模／500人以上／従業者数のうち常用雇用者数／女（人）,従業者規模／出向・派遣従業者のみの事業所数（事業所）
0,13000,東京都,0,A～R,00,全産業（Ｓ公務を除く）,447451,8482959,5034099,3393972,7739397,4537971,3147115,184690,449087,254330,189628,265535,128326,132097,107865,713698,391535,314258,578867,299496,271473,74740,1014562,572090,433820,904755,497339,398773,29273,697439,392340,300296,641308,354196,282325,22100,831780,468770,358622,776758,431662,340717,14112,968554,582591,381405,916693,546151,366062,6623,908322,566646,336179,867903,539197,323244,1942,469573,301308,166296,449774,288421,159385,1492,568495,357080,209113,546135,343423,200415,1553,1861449,1147409,704355,1791669,1109760,672624,3061
0,13000,東京都,1,A,00,農業，林業,454,3571,2659,891,2752,2045,686,207,545,386,148,268,181,76,137,890,693,187,639,500,129,76,961,739,222,769,603,166,14,333,262,71,278,214,64,8,320,253,67,307,240,67,8,522,326,196,491,307,184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
0,13000,東京都,2,A,01,農業,422,3321,2459,841,2551,1885,645,195,515,363,141,251,168,72,126,815,637,168,585,460,115,68,856,652,204,679,530,149,14,333,262,71,278,214,64,7,280,219,61,267,206,61,8,522,326,196,491,307,184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
0,13000,東京都,2,A,02,林業,32,250,200,50,201,160,41,12,30,23,7,17,13,4,11,75,56,19,54,40,14,8,105,87,18,90,73,17,-,-,-,-,-,-,-,1,40,34,6,40,34,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13000,東京都,1,B,00,漁業,10,80,66,14,70,60,10,4,15,11,4,10,9,1,4,32,23,9,29,21,8,1,12,12,-,11,11,-,1,21,20,1,20,19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13000,東京都,2,B,03,漁業（水産養殖業を除く）,6,59,50,9,54,46,8,1,3,2,1,3,2,1,3,23,16,7,20,14,6,1,12,12,-,11,11,-,1,21,20,1,20,19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13000,東京都,2,B,04,水産養殖業,4,21,16,5,16,14,2,3,12,9,3,7,7,-,1,9,7,2,9,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13000,東京都,1,C,00,鉱業，採石業，砂利採取業,78,1846,1466,378,1682,1310,370,46,72,53,17,53,40,11,6,36,31,5,17,14,3,4,52,39,13,37,24,13,5,119,105,14,110,96,14,2,73,59,14,64,50,14,2,115,104,11,114,103,11,2,266,198,68,254,186,68,1,281,249,32,259,227,32,-,-,-,-,-,-,-,1,832,628,204,774,570,204,9
0,13000,東京都,2,C,05,鉱業，採石業，砂利採取業,78,1846,1466,378,1682,1310,370,46,72,53,17,53,40,11,6,36,31,5,17,14,3,4,52,39,13,37,24,13,5,119,105,14,110,96,14,2,73,59,14,64,50,14,2,115,104,11,114,103,11,2,266,198,68,254,186,68,1,281,249,32,259,227,32,-,-,-,-,-,-,-,1,832,628,204,774,570,204,9
0,13000,東京都,1,D,00,建設業,34147,443619,367329,74503,376373,313318,61269,15950,39748,28778,10707,19248,12968,6018,9263,60967,47151,13358,42869,33262,9149,4980,65911,54209,11348,53429,44277,8798,1561,37248,31637,5452,32242,27434,4649,1148,43472,37376,5969,39399,33772,5500,681,46551,39980,6360,43645,37320,6114,324,44147,38255,5892,42129,36306,5823,70,17060,14383,2462,16488,13863,2410,57,21453,18723,2730,20771,18116,2655,59,67062,56837,10225,66153,56000,10153,54
