地域階層,地域コード,地域名,産業分類階層,大分類,中分類,小分類,分類名,企業常用雇用者規模階層,企業常用雇用者規模コード,企業常用雇用者規模,個人及び会社企業／企業数（企業）,個人及び会社企業／事業所数（事業所）,個人及び会社企業／企業従業者数（人）,個人／企業数（企業）,個人／事業所数（事業所）,個人／企業従業者数（人）,会社企業／総数／企業数（企業）,会社企業／総数／企業数のうち単一事業所企業（企業）,会社企業／総数／企業数のうち複数事業所企業（企業）,会社企業／総数／事業所数（事業所）,会社企業／総数／企業従業者数（人）,会社企業／資本金階級／300万円未満／企業数（企業）,会社企業／資本金階級／300万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／300万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／300万円未満／事業所数（事業所）,会社企業／資本金階級／300万円未満／企業従業者数（人）,会社企業／資本金階級／300万～500万円未満／企業数（企業）,会社企業／資本金階級／300万～500万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／300万～500万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／300万～500万円未満／事業所数（事業所）,会社企業／資本金階級／300万～500万円未満／企業従業者数（人）,会社企業／資本金階級／500万～1000万円未満／企業数（企業）,会社企業／資本金階級／500万～1000万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／500万～1000万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／500万～1000万円未満／事業所数（事業所）,会社企業／資本金階級／500万～1000万円未満／企業従業者数（人）,会社企業／資本金階級／1000万～3000万円未満／企業数（企業）,会社企業／資本金階級／1000万～3000万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／1000万～3000万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／1000万～3000万円未満／事業所数（事業所）,会社企業／資本金階級／1000万～3000万円未満／企業従業者数（人）,会社企業／資本金階級／3000万～5000万円未満／企業数（企業）,会社企業／資本金階級／3000万～5000万円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／3000万～5000万円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／3000万～5000万円未満／事業所数（事業所）,会社企業／資本金階級／3000万～5000万円未満／企業従業者数（人）,会社企業／資本金階級／5000万～1億円未満／企業数（企業）,会社企業／資本金階級／5000万～1億円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／5000万～1億円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／5000万～1億円未満／事業所数（事業所）,会社企業／資本金階級／5000万～1億円未満／企業従業者数（人）,会社企業／資本金階級／1億～3億円未満／企業数（企業）,会社企業／資本金階級／1億～3億円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／1億～3億円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／1億～3億円未満／事業所数（事業所）,会社企業／資本金階級／1億～3億円未満／企業従業者数（人）,会社企業／資本金階級／3億～10億円未満／企業数（企業）,会社企業／資本金階級／3億～10億円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／3億～10億円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／3億～10億円未満／事業所数（事業所）,会社企業／資本金階級／3億～10億円未満／企業従業者数（人）,会社企業／資本金階級／10億～50億円未満／企業数（企業）,会社企業／資本金階級／10億～50億円未満／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／10億～50億円未満／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／10億～50億円未満／事業所数（事業所）,会社企業／資本金階級／10億～50億円未満／企業従業者数（人）,会社企業／資本金階級／50億円以上／企業数（企業）,会社企業／資本金階級／50億円以上／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／50億円以上／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／50億円以上／事業所数（事業所）,会社企業／資本金階級／50億円以上／企業従業者数（人）,会社企業／資本金階級／（再掲）1000万円以下／企業数（企業）,会社企業／資本金階級／（再掲）1000万円以下／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／（再掲）1000万円以下／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／（再掲）1000万円以下／事業所数（事業所）,会社企業／資本金階級／（再掲）1000万円以下／企業従業者数（人）,会社企業／資本金階級／（再掲）5000万円以下／企業数（企業）,会社企業／資本金階級／（再掲）5000万円以下／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／（再掲）5000万円以下／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／（再掲）5000万円以下／事業所数（事業所）,会社企業／資本金階級／（再掲）5000万円以下／企業従業者数（人）,会社企業／資本金階級／（再掲）1億円以下／企業数（企業）,会社企業／資本金階級／（再掲）1億円以下／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／（再掲）1億円以下／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／（再掲）1億円以下／事業所数（事業所）,会社企業／資本金階級／（再掲）1億円以下／企業従業者数（人）,会社企業／資本金階級／（再掲）3億円以下／企業数（企業）,会社企業／資本金階級／（再掲）3億円以下／企業数のうち単一事業所企業（企業）,会社企業／資本金階級／（再掲）3億円以下／企業数のうち複数事業所企業（企業）,会社企業／資本金階級／（再掲）3億円以下／事業所数（事業所）,会社企業／資本金階級／（再掲）3億円以下／企業従業者数（人）
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,0,00,全ての規模,9075,12424,131191,4435,4467,11861,4640,3931,709,7957,119330,281,254,27,319,1724,1571,1458,113,1784,8239,415,368,47,484,2480,1728,1456,272,2412,24272,193,115,78,541,8414,140,71,69,692,13804,46,15,31,486,18893,28,3,25,412,13178,10,1,9,124,6082,10,1,9,469,20868,3671,3290,381,4471,29928,4243,3684,559,5814,51467,4351,3731,620,6465,71799,4376,3737,639,6730,78155
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,01,0～4人,7189,7309,17955,4081,4101,8503,3108,2973,135,3208,9452,207,196,11,213,548,1266,1229,37,1292,3551,315,300,15,326,964,1051,1002,49,1083,3461,68,62,6,73,258,39,33,6,58,135,5,5,-,5,18,-,-,-,-,-,-,-,-,-,-,1,1,-,1,20,2706,2603,103,2777,8048,2921,2803,118,3001,8825,2949,2825,124,3048,8928,2951,2827,124,3050,8935
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,02,5～9人,910,1010,7565,272,278,2076,638,534,104,732,5489,43,34,9,50,343,171,143,28,199,1425,55,45,10,63,449,294,252,42,331,2611,20,17,3,25,204,14,10,4,20,128,3,3,-,3,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,496,418,78,567,4227,586,494,92,671,5059,599,503,96,690,5179,600,504,96,691,5185
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,03,10～19人,439,595,6796,71,76,997,368,248,120,519,5799,20,17,3,22,297,80,60,20,104,1213,24,13,11,49,360,174,115,59,246,2855,36,20,16,55,564,16,11,5,20,251,2,2,-,2,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,247,170,77,354,3921,341,231,110,483,5398,351,237,114,497,5554,352,238,114,498,5565
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,04,20～29人,161,299,4543,9,10,214,152,81,71,289,4329,6,5,1,11,186,36,20,16,63,961,10,4,6,20,251,65,39,26,116,1761,20,7,13,42,765,8,2,6,27,215,1,1,-,1,32,2,1,1,2,65,-,-,-,-,-,-,-,-,-,-,101,57,44,181,2725,141,76,65,262,4036,146,78,68,280,4171,146,78,68,280,4171
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,05,30～49人,124,344,5047,2,2,71,122,43,79,342,4976,1,1,-,1,44,10,2,8,44,407,10,6,4,24,398,70,24,46,195,2859,12,4,8,22,517,13,5,8,39,531,4,-,4,9,145,1,-,1,7,40,-,-,-,-,-,-,-,-,-,-,65,25,40,190,2624,108,40,68,293,4429,117,42,75,327,4799,120,42,78,334,4901
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,06,50～99人,115,433,9274,-,-,-,115,34,81,433,9274,3,1,2,12,196,6,4,2,29,430,1,-,1,2,58,47,15,32,156,4173,19,3,16,91,1438,19,6,13,71,1416,8,2,6,32,631,7,1,6,29,558,2,1,1,4,161,-,-,-,-,-,35,13,22,118,3153,83,25,58,316,6766,99,31,68,380,7993,104,31,73,395,8435
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,07,100～299人,77,701,13432,-,-,-,77,16,61,701,13432,1,-,1,10,110,2,-,2,53,252,-,-,-,-,-,22,9,13,82,3502,15,2,13,161,2675,20,2,18,232,3461,7,2,5,69,1462,7,1,6,81,1351,1,-,1,9,134,2,-,2,4,485,17,4,13,100,2534,48,13,35,430,7893,61,13,48,546,10193,68,15,53,617,11698
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,08,300～999人,37,667,18626,-,-,-,37,2,35,667,18626,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,169,1968,2,-,2,12,967,8,2,6,122,3499,11,-,11,216,5962,6,-,6,69,2882,5,-,5,63,2715,1,-,1,16,633,3,-,3,150,1614,12,2,10,225,5508,20,2,18,423,9498,25,2,23,519,12396
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,09,1000人～1999人,15,519,20496,-,-,-,15,-,15,519,20496,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,34,1082,1,-,1,60,1026,3,-,3,103,4168,3,-,3,79,3849,3,-,3,156,4709,2,-,2,48,3072,2,-,2,39,2590,1,-,1,34,1082,3,-,3,133,3553,7,-,7,204,8740,8,-,8,276,10125
4,13114,中野区,0,A～R,00,000,全産業（Ｓ公務を除く）,1,10,2000人～4999人,7,254,19081,-,-,-,7,-,7,254,19081,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,70,6744,2,-,2,68,3573,-,-,-,-,-,3,-,3,116,8764,-,-,-,-,-,-,-,-,-,-,2,-,2,70,6744,2,-,2,70,6744
