資本金階級階層,資本金階級コード,資本金階級範囲,会社企業／総数（企業）,決算月／１月／会社企業数（企業）,決算月／２月／会社企業数（企業）,決算月／３月／会社企業数（企業）,決算月／４月／会社企業数（企業）,決算月／５月／会社企業数（企業）,決算月／６月／会社企業数（企業）,決算月／７月／会社企業数（企業）,決算月／８月／会社企業数（企業）,決算月／９月／会社企業数（企業）,決算月／10月／会社企業数（企業）,決算月／11月／会社企業数（企業）,決算月／12月／会社企業数（企業）,決算月／不詳／会社企業数（企業）
0,00,合計（資本金額が不詳含む）,248512,8202,16149,48784,15100,18061,20743,17108,20551,25618,10035,7550,24092,18820
1,01,300万円未満,14024,573,936,2133,946,1106,1337,940,1144,1410,731,721,1563,618
1,02,300万～500万円未満,73538,2345,5588,10682,5554,6436,6962,6090,7262,7952,3711,2487,6501,2779
1,03,500万～1000万円未満,23398,788,1737,3455,1705,2121,2204,1895,2200,2524,1124,871,2162,865
1,04,1000万～3000万円未満,91525,3465,6105,18214,5681,6866,8016,6785,8166,10556,3614,2678,8964,3096
1,05,3000万～5000万円未満,11521,435,671,3232,562,697,921,695,851,1242,365,316,1351,255
1,06,5000万～1億円未満,10729,345,546,3942,393,495,740,441,574,1098,273,238,1516,226
1,07,1億～3億円未満,5541,121,246,2921,120,155,256,91,152,377,92,103,919,90
1,08,3億～10億円未満,2954,33,102,1811,33,43,103,33,44,170,31,29,530,42
1,09,10億～50億円未満,1690,22,53,1170,12,22,31,14,15,90,13,23,248,14
1,10,50億円以上,1236,8,50,970,2,6,11,1,9,40,6,6,162,7
,,,,,,,,,,,,,,,,
平成28年経済センサス活動調査報告（産業横断的集計　東京都概況）,,,,,,,,,,,,,,,,
第28表　資本金階級（１０区分）、会社の決算月別会社企業数,,,,,,,,,,,,,,,,
注１）会社企業の総数は、資本金額が不詳の会社企業を含むため、各資本金階級の合計が総数に一致しない場合がある。,,,,,,,,,,,,,,,,
注２）年間に複数回決算を行う会社企業は、それぞれの決算月に計上しているため、各決算月の合計が総数に一致しない場合がある。,,,,,,,,,,,,,,,,
資本金階級階層（0:総数　1:資本金階級階層）,,,,,,,,,,,,,,,,
