産業分類階層,大分類,中分類,小分類,分類名,東京都／事業所数（事業所）,東京都／従業者数（人）,区部／事業所数（事業所）,区部／従業者数（人）,千代田区／事業所数（事業所）,千代田区／従業者数（人）,中央区／事業所数（事業所）,中央区／従業者数（人）,港区／事業所数（事業所）,港区／従業者数（人）,新宿区／事業所数（事業所）,新宿区／従業者数（人）,文京区／事業所数（事業所）,文京区／従業者数（人）,台東区／事業所数（事業所）,台東区／従業者数（人）,墨田区／事業所数（事業所）,墨田区／従業者数（人）,江東区／事業所数（事業所）,江東区／従業者数（人）,品川区／事業所数（事業所）,品川区／従業者数（人）,目黒区／事業所数（事業所）,目黒区／従業者数（人）,大田区／事業所数（事業所）,大田区／従業者数（人）,世田谷区／事業所数（事業所）,世田谷区／従業者数（人）,渋谷区／事業所数（事業所）,渋谷区／従業者数（人）,中野区／事業所数（事業所）,中野区／従業者数（人）,杉並区／事業所数（事業所）,杉並区／従業者数（人）,豊島区／事業所数（事業所）,豊島区／従業者数（人）,北区／事業所数（事業所）,北区／従業者数（人）,荒川区／事業所数（事業所）,荒川区／従業者数（人）,板橋区／事業所数（事業所）,板橋区／従業者数（人）,練馬区／事業所数（事業所）,練馬区／従業者数（人）,足立区／事業所数（事業所）,足立区／従業者数（人）,葛飾区／事業所数（事業所）,葛飾区／従業者数（人）,江戸川区／事業所数（事業所）,江戸川区／従業者数（人）,境界未定地域／事業所数（事業所）,境界未定地域／従業者数（人）,市部／事業所数（事業所）,市部／従業者数（人）,八王子市／事業所数（事業所）,八王子市／従業者数（人）,立川市／事業所数（事業所）,立川市／従業者数（人）,武蔵野市／事業所数（事業所）,武蔵野市／従業者数（人）,三鷹市／事業所数（事業所）,三鷹市／従業者数（人）,青梅市／事業所数（事業所）,青梅市／従業者数（人）,府中市／事業所数（事業所）,府中市／従業者数（人）,昭島市／事業所数（事業所）,昭島市／従業者数（人）,調布市／事業所数（事業所）,調布市／従業者数（人）,町田市／事業所数（事業所）,町田市／従業者数（人）,小金井市／事業所数（事業所）,小金井市／従業者数（人）,小平市／事業所数（事業所）,小平市／従業者数（人）,日野市／事業所数（事業所）,日野市／従業者数（人）,東村山市／事業所数（事業所）,東村山市／従業者数（人）,国分寺市／事業所数（事業所）,国分寺市／従業者数（人）,国立市／事業所数（事業所）,国立市／従業者数（人）,福生市／事業所数（事業所）,福生市／従業者数（人）,狛江市／事業所数（事業所）,狛江市／従業者数（人）,東大和市／事業所数（事業所）,東大和市／従業者数（人）,清瀬市／事業所数（事業所）,清瀬市／従業者数（人）,東久留米市／事業所数（事業所）,東久留米市／従業者数（人）,武蔵村山市／事業所数（事業所）,武蔵村山市／従業者数（人）,多摩市／事業所数（事業所）,多摩市／従業者数（人）,稲城市／事業所数（事業所）,稲城市／従業者数（人）,羽村市／事業所数（事業所）,羽村市／従業者数（人）,あきる野市／事業所数（事業所）,あきる野市／従業者数（人）,西東京市／事業所数（事業所）,西東京市／従業者数（人）,町村部／事業所数（事業所）,町村部／従業者数（人）,西多摩郡／事業所数（事業所）,西多摩郡／従業者数（人）,瑞穂町／事業所数（事業所）,瑞穂町／従業者数（人）,日の出町／事業所数（事業所）,日の出町／従業者数（人）,檜原村／事業所数（事業所）,檜原村／従業者数（人）,奥多摩町／事業所数（事業所）,奥多摩町／従業者数（人）,島部／事業所数（事業所）,島部／従業者数（人）,大島支庁／事業所数（事業所）,大島支庁／従業者数（人）,大島町／事業所数（事業所）,大島町／従業者数（人）,利島村／事業所数（事業所）,利島村／従業者数（人）,新島村／事業所数（事業所）,新島村／従業者数（人）,神津島村／事業所数（事業所）,神津島村／従業者数（人）,三宅支庁／事業所数（事業所）,三宅支庁／従業者数（人）,三宅村／事業所数（事業所）,三宅村／従業者数（人）,御蔵島村／事業所数（事業所）,御蔵島村／従業者数（人）,八丈支庁／事業所数（事業所）,八丈支庁／従業者数（人）,八丈町／事業所数（事業所）,八丈町／従業者数（人）,青ヶ島村／事業所数（事業所）,青ヶ島村／従業者数（人）,小笠原支庁／事業所数（事業所）,小笠原支庁／従業者数（人）,小笠原村／事業所数（事業所）,小笠原村／従業者数（人）
0,A～R,00,000,全産業（Ｓ公務を除く）,621671,9005511,494337,7550364,31065,942339,35745,755348,37116,989196,32274,651285,13018,206165,22770,227175,15492,153761,18024,356931,20123,371830,11389,122466,29497,349551,27034,262689,29816,515503,12068,121982,19246,157249,18962,259658,12536,124765,9060,75404,17825,195069,20278,172477,23557,215361,16636,128556,20228,176836,578,18768,122531,1411098,18180,215748,7522,112294,7467,81486,5040,56139,4504,47556,7325,103113,3548,44496,6415,72541,12106,134323,2905,29989,4641,54774,4446,56826,3683,36679,3450,33866,2657,26638,2024,16664,1956,15428,2483,22524,1836,18825,3003,28517,2378,25388,3597,60945,2072,22070,1944,24859,2349,21510,5000,47900,4803,44049,2737,33222,1624,21509,704,9017,139,752,270,1944,2066,10827,990,5086,562,2993,36,137,227,1129,165,827,251,1319,226,1167,25,152,564,2966,549,2882,15,84,261,1456,261,1456
1,A,00,000,農業，林業,455,3573,223,1764,12,37,11,178,20,154,13,58,5,32,2,2,-,-,11,188,5,22,6,50,14,97,47,338,3,18,3,10,11,52,1,16,3,16,-,-,4,14,22,125,10,185,7,33,12,123,1,16,208,1546,26,220,10,64,3,16,13,69,9,73,12,189,5,46,12,66,28,198,2,15,12,122,7,42,6,26,7,28,2,5,3,12,5,14,2,17,5,22,10,53,2,12,5,46,10,80,1,35,7,51,4,25,24,263,17,176,4,43,7,78,3,27,3,28,7,87,2,14,1,4,1,10,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,4,72,4,72
2,A,01,000,農業,423,3323,211,1705,9,32,9,155,20,154,11,48,5,32,2,2,-,-,9,175,5,22,5,48,14,97,46,335,2,15,3,10,11,52,1,16,3,16,-,-,4,14,22,125,10,185,7,33,12,123,1,16,199,1480,25,212,10,64,3,16,12,64,6,41,11,181,5,46,12,66,28,198,2,15,12,122,7,42,6,26,6,24,2,5,3,12,5,14,2,17,4,17,10,53,2,12,5,46,10,80,1,35,7,51,3,21,13,138,8,62,4,43,4,19,-,-,-,-,5,76,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,72,4,72
3,A,01,010,管理，補助的経済活動を行う事業所,10,76,8,66,1,5,2,51,3,7,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,011,耕種農業,56,476,28,305,4,15,1,-,7,74,4,14,-,-,-,-,-,-,1,3,1,2,1,10,-,-,3,94,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,1,58,1,4,1,11,1,16,24,131,2,17,3,24,-,-,-,-,2,3,2,16,-,-,-,-,-,-,1,8,2,15,-,-,2,10,1,6,1,2,-,-,2,5,-,-,2,5,-,-,-,-,-,-,2,10,-,-,1,3,1,7,4,40,3,34,1,26,2,8,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,1,6
3,A,01,012,畜産農業,19,191,15,177,1,-,2,28,2,4,1,3,1,3,-,-,-,-,2,113,-,-,-,-,1,3,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,2,20,1,1,-,-,-,-,-,-,4,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,013,農業サービス業（園芸サービス業を除く）,17,171,9,95,1,6,-,-,3,37,1,1,1,2,-,-,-,-,1,41,1,3,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,76,2,24,-,-,-,-,1,6,1,24,-,-,-,-,1,9,2,10,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,A,01,014,園芸サービス業,321,2409,151,1062,2,6,4,76,5,32,5,30,3,27,2,2,-,-,4,16,3,17,4,38,13,94,42,236,2,15,2,9,9,50,1,16,3,16,-,-,3,12,19,103,8,126,6,29,11,112,-,-,161,1249,21,171,7,40,3,16,11,58,3,14,9,165,5,46,11,57,25,179,1,7,9,104,7,42,4,16,5,18,-,-,3,12,3,9,2,17,2,12,7,45,2,12,5,46,7,66,1,35,6,48,2,14,9,98,5,28,3,17,2,11,-,-,-,-,4,70,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,66,3,66
2,A,02,000,林業,32,250,12,59,3,5,2,23,-,-,2,10,-,-,-,-,-,-,2,13,-,-,1,2,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,66,1,8,-,-,-,-,1,5,3,32,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,1,4,11,125,9,114,-,-,3,59,3,27,3,28,2,11,1,10,-,-,1,10,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
3,A,02,020,管理，補助的経済活動を行う事業所,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
