年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成24,2012,総数,Total,98500,48346,50154,1142,40658,56700,95249,3251
平成25,2013,総数,Total,101970,49702,52268,1096,42908,57966,98478,3492
平成26,2014,総数,Total,98535,48343,50192,1088,41265,56182,95023,3512
平成26,2014,進学者(A),Enrollment in higher education institutions(A),65088,30263,34825,682,21458,42948,64352,736
平成26,2014,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,62055,29982,32073,679,19863,41513,61387,668
平成26,2014,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,2938,252,2686,-,1550,1388,2878,60
平成26,2014,進学者(A)／大学・短期大学の通信教育部及び放送大学,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges and The University of the Air,38,16,22,-,31,7,30,8
平成26,2014,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,9,4,5,-,8,1,9,-
平成26,2014,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,44,5,39,-,6,38,44,-
平成26,2014,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,4,4,-,3,-,1,4,-
平成26,2014,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),12537,5465,7072,-,8200,4337,11771,766
平成26,2014,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),5997,3680,2317,-,2640,3357,5932,65
平成26,2014,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),344,271,73,1,303,40,229,115
平成26,2014,就職者,Employed,6141,3768,2373,6,4942,1193,5348,793
平成26,2014,一時的な仕事に就いた者,Temporary workers,921,330,591,-,833,88,539,382
平成26,2014,上記以外の者,Persons other than the above,7497,4563,2934,399,2889,4209,6842,655
平成26,2014,不詳・死亡,Unknown or deceased,10,3,7,-,-,10,10,-
平成26,2014,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,9,3,6,-,6,3,6,3
平成26,2014,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,3,2,1,-,3,-,1,2
平成26,2014,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,4,-,4,-,1,3,4,-
平成26,2014,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,2,1,1,-,2,-,1,1
平成26,2014,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-,-,-
,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2014 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成24～26年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2012-2014 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本調査報告」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
