規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.8,165.7,148.5,17.2,14.3,90.7,87.4,3.3
100～499人,20.2,170.1,154,16.1,15.6,93.8,90.9,2.9
100人以上,20,168,151.4,16.6,15,92.5,89.4,3.1
30～99人,20.7,173.3,157.5,15.8,14.3,80.7,78.2,2.5
５～29人,21.2,175.4,164.3,11.1,13.7,82.6,80,2.6
30人以上,20.2,169.6,153.3,16.3,14.7,86.8,84,2.8
５人以上,20.5,171.1,156.1,15,14.2,84.8,82.1,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
