規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,163.8,145.8,18,14.1,95.8,91.6,4.2
100～499人,19.6,165.6,148.3,17.3,14.7,91.3,87.8,3.5
100人以上,19.5,164.7,147.1,17.6,14.4,93,89.3,3.7
30～99人,20,168.1,152.6,15.5,14.1,78.9,76.3,2.6
５～29人,20.6,172.1,159.4,12.7,13.1,80.3,77.4,2.9
30人以上,19.7,165.8,148.8,17,14.3,86.4,83.2,3.2
５人以上,19.9,167.4,151.5,15.9,13.7,83.5,80.5,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
