事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
５人以上,TL 調査産業計,平成22,2010,年平均,5429498,84303,86256,5427949,1480307,55105,55457,1479550
５人以上,TL 調査産業計,平成23,2011,年平均,5363401,79013,83876,5358354,1516992,54130,53548,1517758
５人以上,TL 調査産業計,平成24,2012,年平均,5551294,82331,86444,5547632,1633312,59887,57682,1635066
５人以上,TL 調査産業計,平成25,2013,年平均,5501060,84193,84192,5501323,1669564,65303,62810,1671794
５人以上,TL 調査産業計,平成26,2014,年平均,5541000,85028,80451,5546324,1719719,68320,63269,1724024
５人以上,TL 調査産業計,平成27,2015,年平均,5490782,89544,87908,5493751,1776213,73910,71245,1777544
５人以上,TL 調査産業計,平成27,2015,1月,5492203,51332,54343,5490215,1772673,47058,50789,1767919
５人以上,TL 調査産業計,平成27,2015,2月,5471964,55614,69014,5461162,1783750,59609,68311,1772450
５人以上,TL 調査産業計,平成27,2015,3月,5408643,61806,85183,5385700,1812337,69341,101714,1779530
５人以上,TL 調査産業計,平成27,2015,4月,5380863,327231,206495,5505762,1764347,123615,110011,1773788
５人以上,TL 調査産業計,平成27,2015,5月,5528575,96581,99602,5527533,1749937,86524,88848,1745634
５人以上,TL 調査産業計,平成27,2015,6月,5525397,75604,75437,5526766,1759326,75399,54174,1779349
５人以上,TL 調査産業計,平成27,2015,7月,5540654,82077,97140,5526451,1774679,61865,53148,1782536
５人以上,TL 調査産業計,平成27,2015,8月,5531248,63127,74212,5522511,1776466,61072,81789,1753401
５人以上,TL 調査産業計,平成27,2015,9月,5510701,63443,74621,5499686,1754252,81255,63958,1771386
５人以上,TL 調査産業計,平成27,2015,10月,5504736,90324,91846,5503338,1761988,89010,65495,1785379
５人以上,TL 調査産業計,平成27,2015,11月,5492366,62599,63017,5492310,1796352,69686,63419,1802257
５人以上,TL 調査産業計,平成27,2015,12月,5502029,44786,63986,5483577,1808446,62486,53283,1816901
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,2094,42,33,2101,5,1,1,6
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,2209,37,29,2216,9,0,0,9
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,1815,36,33,1819,19,0,0,19
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,1690,27,24,1693,37,0,0,37
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,1856,36,29,1862,50,0,0,51
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,年平均,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,1月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,2月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,3月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,4月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,5月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,6月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,7月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,8月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,9月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,10月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,11月,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,12月,－,－,－,－,－,－,－,－
５人以上,D 建設業,平成22,2010,年平均,311463,3678,4020,311115,11484,283,526,11248
５人以上,D 建設業,平成23,2011,年平均,305803,3028,3584,305268,8828,163,138,8832
５人以上,D 建設業,平成24,2012,年平均,328353,4070,3851,328584,10135,326,307,10143
５人以上,D 建設業,平成25,2013,年平均,330636,3717,3931,330420,10595,434,363,10668
５人以上,D 建設業,平成26,2014,年平均,327363,3889,3677,327573,14220,377,368,14231
５人以上,D 建設業,平成27,2015,年平均,334675,4078,3752,335030,8456,325,255,8496
５人以上,D 建設業,平成27,2015,1月,331547,3602,2221,332928,8339,412,73,8678
５人以上,D 建設業,平成27,2015,2月,333025,2360,3893,331492,8581,191,181,8591
５人以上,D 建設業,平成27,2015,3月,332061,2155,4343,329874,8022,341,226,8136
５人以上,D 建設業,平成27,2015,4月,329870,14298,8184,335983,8140,411,491,8061
５人以上,D 建設業,平成27,2015,5月,335749,3620,4164,335379,8295,381,352,8150
５人以上,D 建設業,平成27,2015,6月,335405,3265,3265,335406,8124,3,126,8000
５人以上,D 建設業,平成27,2015,7月,334836,3082,3506,334789,8570,247,32,8408
５人以上,D 建設業,平成27,2015,8月,334772,5013,2459,337132,8425,549,437,8731
５人以上,D 建設業,平成27,2015,9月,337473,3642,3579,337536,8390,642,386,8646
５人以上,D 建設業,平成27,2015,10月,337050,3314,3283,337082,9132,186,322,8995
５人以上,D 建設業,平成27,2015,11月,337195,2118,2538,336777,8882,234,205,8909
５人以上,D 建設業,平成27,2015,12月,337117,2462,3590,335989,8569,298,224,8643
５人以上,E 製造業,平成22,2010,年平均,637873,7936,8694,637147,46011,1322,1202,46099
５人以上,E 製造業,平成23,2011,年平均,629596,7146,7759,629059,49406,1500,1368,49461
５人以上,E 製造業,平成24,2012,年平均,662308,7716,7824,662278,49220,1394,1269,49267
５人以上,E 製造業,平成25,2013,年平均,653758,7103,7945,653008,48337,1092,1131,48205
５人以上,E 製造業,平成26,2014,年平均,646382,6878,7047,646264,48346,1473,1296,48474
５人以上,E 製造業,平成27,2015,年平均,601059,7237,7334,601042,52463,1369,1410,52342
５人以上,E 製造業,平成27,2015,1月,617224,4620,4973,617049,54978,1214,2517,53497
５人以上,E 製造業,平成27,2015,2月,613156,3786,5774,611206,54970,1372,2245,54059
５人以上,E 製造業,平成27,2015,3月,599450,4030,5153,598246,53183,1502,1106,53660
５人以上,E 製造業,平成27,2015,4月,579409,26934,18275,588272,52477,1807,2011,52069
５人以上,E 製造業,平成27,2015,5月,587697,11349,10805,588444,51605,1143,1217,51328
５人以上,E 製造業,平成27,2015,6月,600681,4982,5610,600475,50647,668,1775,49118
５人以上,E 製造業,平成27,2015,7月,613126,5450,9957,608597,48681,1401,300,49804
５人以上,E 製造業,平成27,2015,8月,607475,4125,4830,606850,54109,1170,1250,53949
５人以上,E 製造業,平成27,2015,9月,594022,5128,3751,595289,51362,510,1374,50608
５人以上,E 製造業,平成27,2015,10月,595078,9708,7868,596919,50927,1159,1042,51043
５人以上,E 製造業,平成27,2015,11月,595827,2989,3485,595357,52136,1716,1046,52780
５人以上,E 製造業,平成27,2015,12月,609561,3740,7531,605799,54484,2771,1037,56189
５人以上,F 電気・ガス・熱供給・水道業,平成22,2010,年平均,33749,583,608,33723,808,24,10,822
５人以上,F 電気・ガス・熱供給・水道業,平成23,2011,年平均,33769,607,709,33667,1088,50,24,1114
５人以上,F 電気・ガス・熱供給・水道業,平成24,2012,年平均,31342,299,389,31259,3199,35,40,3188
５人以上,F 電気・ガス・熱供給・水道業,平成25,2013,年平均,24604,298,1118,23783,1900,23,166,1757
５人以上,F 電気・ガス・熱供給・水道業,平成26,2014,年平均,19780,270,363,19687,2466,38,13,2492
５人以上,F 電気・ガス・熱供給・水道業,平成27,2015,年平均,17619,275,294,17601,922,13,24,909
５人以上,F 電気・ガス・熱供給・水道業,平成27,2015,1月,19972,18,152,19838,1677,0,0,1677
５人以上,F 電気・ガス・熱供給・水道業,平成27,2015,2月,19838,21,211,19648,1677,0,4,1673
