規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,497322,467548,424144,43404,29774,138365,137041,128851,8190,1324
100～499人,451691,413619,380262,33357,38072,127935,125201,120077,5124,2734
100人以上,473395,439270,401134,38136,34125,132059,129882,123546,6336,2177
30～99人,398969,382562,357290,25272,16407,100750,100092,96861,3231,658
５～29人,367039,350318,332359,17959,16721,95781,95221,92374,2847,560
30人以上,450115,421532,387420,34112,28583,116939,115496,110659,4837,1443
５人以上,428914,403358,373368,29990,25556,107112,106079,102166,3913,1033
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年４月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
