規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,17.2,17.8,16.2,137.1,148.8,119.8,125.2,133.8,112.5,11.9,15,7.3
５人以上,"鉱業,採石業,砂利採取業",18.3,18.4,17.6,149.7,152,140,133.9,135.3,128.1,15.8,16.7,11.9
５人以上,建設業,18.7,18.9,17.3,160.8,164.3,140.7,140,141.4,131.9,20.8,22.9,8.8
５人以上,製造業,17.4,17.7,16.6,145.2,149.7,132.8,132.8,136,123.8,12.4,13.7,9
５人以上,電気・ガス・熱供給・水道業,17.4,17.5,16.9,152,153.5,139.3,131.8,132.5,125.5,20.2,21,13.8
５人以上,情報通信業,17.7,18,16.8,153,156.9,141,134.9,137.7,126.3,18.1,19.2,14.7
５人以上,"運輸業,郵便業",18.5,18.9,17.2,158.6,166.1,130,138.5,143.4,119.6,20.1,22.7,10.4
５人以上,"卸売業,小売業",17.6,18.1,16.9,134.7,145.5,121.5,126.9,136,115.7,7.8,9.5,5.8
５人以上,"金融業,保険業",17.8,18.5,17.2,146.8,157,135.7,130.4,137.7,122.4,16.4,19.3,13.3
５人以上,"不動産業,物品賃貸業",17.9,18.4,16.9,145,152.1,129.5,132.9,138.6,120.4,12.1,13.5,9.1
５人以上,"学術研究,専門・技術サービス業",17.1,17.4,16.5,144.9,150.1,132.7,128.2,131.1,121.4,16.7,19,11.3
５人以上,"宿泊業,飲食サービス業",15.8,17.3,14.6,113.4,137.4,93.1,104.5,123.8,88.2,8.9,13.6,4.9
５人以上,"生活関連サービス業,娯楽業",17.3,18.2,16.4,136.1,148.4,124.4,128.6,139.4,118.3,7.5,9,6.1
５人以上,"教育,学習支援業",14.8,15.1,14.6,104.9,104.9,105.1,101.8,101.9,101.8,3.1,3,3.3
５人以上,"医療,福祉",16,16,15.9,119.6,125.2,117.4,114.2,118.9,112.4,5.4,6.3,5
５人以上,複合サービス事業,17,17.2,16.8,131.8,138.1,124.3,123.7,128.9,117.6,8.1,9.2,6.7
５人以上,サービス業（他に分類されないもの）,17,17.9,15.8,134.7,150.7,115.2,122,133.8,107.6,12.7,16.9,7.6
30人以上,調査産業計,17.5,18,16.7,141.6,151,126.6,128.2,134.6,117.9,13.4,16.4,8.7
30人以上,"鉱業,採石業,砂利採取業",18.3,18.4,17.6,149.7,152,140,133.9,135.3,128.1,15.8,16.7,11.9
30人以上,建設業,18.7,18.9,17.1,164.6,167.4,145.5,139,140,132.1,25.6,27.4,13.4
30人以上,製造業,17.5,17.7,16.8,146.3,149.8,136.4,133.4,136,125.9,12.9,13.8,10.5
30人以上,電気・ガス・熱供給・水道業,17.7,17.9,16.9,156.4,158.9,139.3,133.9,135.1,125.5,22.5,23.8,13.8
30人以上,情報通信業,17.7,18,16.8,153.1,156.8,140.9,134.1,136.8,125.2,19,20,15.7
30人以上,"運輸業,郵便業",18.4,18.7,17.4,159.7,166.1,133.9,138.7,142.9,121.7,21,23.2,12.2
30人以上,"卸売業,小売業",18.2,18.6,17.8,140.9,149.9,129.2,131.7,138.7,122.6,9.2,11.2,6.6
30人以上,"金融業,保険業",17.9,18.5,17.3,147.8,157.7,137.4,130.3,137.2,123,17.5,20.5,14.4
30人以上,"不動産業,物品賃貸業",17.8,18.3,16.8,142.2,149.6,128.2,130,136,118.6,12.2,13.6,9.6
30人以上,"学術研究,専門・技術サービス業",17.3,17.5,17,149.5,152.5,141.1,129.3,130.5,125.9,20.2,22,15.2
30人以上,"宿泊業,飲食サービス業",17.6,18.8,16.6,130.6,151.1,114.2,119.3,135.3,106.5,11.3,15.8,7.7
30人以上,"生活関連サービス業,娯楽業",16.7,17.7,15.6,128.6,139.6,117.7,121.7,131.4,112.1,6.9,8.2,5.6
30人以上,"教育,学習支援業",15.2,15.4,15,108.7,108.3,109,105.6,105.6,105.5,3.1,2.7,3.5
30人以上,"医療,福祉",16.9,16.9,16.9,129.8,132.7,128.5,124,125.8,123.2,5.8,6.9,5.3
30人以上,複合サービス事業,17.4,17.9,16.7,129.6,141.8,108.3,117.6,127.7,99.9,12,14.1,8.4
30人以上,サービス業（他に分類されないもの）,16.9,17.9,15.7,132.9,150.1,113.5,120.2,133,105.8,12.7,17.1,7.7
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
