規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.8,157.4,141.7,15.7,13.3,88.7,84.9,3.8
100～499人,18.9,160.1,144.6,15.5,14.9,91.3,88.4,2.9
100人以上,18.9,158.8,143.2,15.6,14.2,90.2,86.9,3.3
30～99人,19.1,158.6,145.9,12.7,13.5,77.7,74.7,3
５～29人,19.8,166.2,154.6,11.6,13.1,81.7,78.8,2.9
30人以上,18.9,158.8,144.1,14.7,13.9,84.2,81,3.2
５人以上,19.2,160.6,146.7,13.9,13.5,82.9,79.9,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
