事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,鉱業，採石業，砂利採取業,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成22,2010,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成23,2011,年平均,99.5,101.6,100,98.8,99.8,100.1,101.2,98.9,99.6,97.7,100.2,99.8,101.7,98.1,97.8,97.3,100.3
５人以上,平成24,2012,年平均,100.3,86.5,100.2,100.1,102.6,102.2,99,98.9,99.4,97.5,103.4,100.4,104.9,98.9,98.5,96.5,102.4
５人以上,平成25,2013,年平均,98.2,51.3,98.9,98.5,99,100.1,97.5,97.4,97.7,97.9,101,95.4,101.5,93.3,95.9,97.2,101.2
５人以上,平成26,2014,年平均,96.9,17.8,97.4,98.4,98.8,99.6,95.2,97.1,96.3,99.4,99.5,90.8,97.1,90.2,94.5,100.6,101.1
５人以上,平成27,2015,年平均,97.4,－,100,98.9,99.8,99.8,97.2,96.6,95.4,98.9,97.7,93.8,97.3,90.4,96.3,101.3,101.6
５人以上,平成27,2015,1月,91.2,－,88,90.1,93.8,93.1,91.7,91.3,91.1,93.6,88,91,95,85.4,88.9,93.8,95.8
５人以上,平成27,2015,2月,95.1,－,99.1,99.2,92.6,96.3,95.6,94.4,89.7,96.3,97.3,89.2,97.5,89,94.1,96.6,98.6
５人以上,平成27,2015,3月,98.6,－,102.5,100.5,106.8,104.2,94.3,95.9,99.8,100.7,100.4,92.9,95.5,93.5,95.7,108.4,103.8
５人以上,平成27,2015,4月,102.3,－,106.2,105.1,106.7,105.8,101.5,101.1,101.8,106.1,104,94.4,100.9,96.8,98.9,113.4,105.6
５人以上,平成27,2015,5月,93,－,93.2,93.4,87.6,93.2,93.7,92.3,87.9,94.4,91.4,94.7,97,88,94.7,91,96.7
５人以上,平成27,2015,6月,101.8,－,104.4,104.5,108.8,104.2,99.2,100.8,101.3,101.8,103.1,94.5,100.3,97.4,103.1,109.7,105.9
５人以上,平成27,2015,7月,104.2,－,106.1,105.4,108.8,108.3,103.4,105.2,103,104.5,104.7,95.5,100.1,98.8,102.3,107.7,108.2
５人以上,平成27,2015,8月,96.2,－,97.2,96.4,103.3,100.3,99.2,95.9,95,96.8,96.4,94.5,96.8,74.3,95.7,97,102.3
５人以上,平成27,2015,9月,95.8,－,100.9,97.4,93.8,95.5,96.3,94.6,90.6,97.1,96.9,94.7,96.1,90.3,95.7,94.4,100.1
５人以上,平成27,2015,10月,97.1,－,99.7,96.8,104.2,99.5,97,95.6,97,98.7,96.1,94.5,97,93.9,95.3,104.1,101.4
５人以上,平成27,2015,11月,97.5,－,102.3,101,95.9,99.7,97.5,96.5,92,99.4,99.2,93.9,95.9,91.1,95.8,94.4,101.3
５人以上,平成27,2015,12月,96,－,100.6,97.3,95.4,97.3,97.1,95.2,95.9,97,95.4,95.2,95.7,85.8,95.3,104.8,99.1
５人以上,平成23,2011,年平均（前年比（％））,-0.5,1.6,0,-1.2,-0.2,0.1,1.1,-1.1,-0.4,-2.3,0.2,-0.2,1.6,-1.8,-2.1,-2.7,0.3
５人以上,平成24,2012,年平均（前年比（％））,0.8,-14.9,0.2,1.3,2.8,2.1,-2.2,0,-0.2,-0.2,3.2,0.6,3.1,0.8,0.7,-0.8,2.1
５人以上,平成25,2013,年平均（前年比（％））,-2.1,-40.7,-1.3,-1.6,-3.5,-2.1,-1.5,-1.5,-1.7,0.4,-2.3,-5,-3.2,-5.7,-2.6,0.7,-1.2
