規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,512718,458710,417716,40994,54008,133916,131358,123929,7429,2558
100～499人,458661,414375,381994,32381,44286,119627,117987,113170,4817,1640
100人以上,484649,435689,399167,36522,48960,125677,123648,117725,5923,2029
30～99人,391036,375610,350711,24899,15426,98411,97954,94224,3730,457
５～29人,368234,348126,328112,20014,20108,95535,94792,91522,3270,743
30人以上,454851,416565,383743,32822,38286,112102,110856,106025,4831,1246
５人以上,432754,399106,369551,29555,33648,104351,103341,99240,4101,1010
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
