規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.5,170.9,153.9,17,14.2,93,89.5,3.5
100～499人,20.5,172.8,156.5,16.3,15.6,94.2,91.1,3.1
100人以上,20.5,171.9,155.3,16.6,15,93.6,90.4,3.2
30～99人,21,183.8,166.8,17,14.3,81.4,78.5,2.9
５～29人,21.1,175.6,163.8,11.8,13.6,83.8,80.6,3.2
30人以上,20.7,175.7,159,16.7,14.7,87.7,84.6,3.1
５人以上,20.8,175.7,160.2,15.5,14.2,85.9,82.8,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
