規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18,151.7,135.3,16.4,12.7,85.5,81.5,4
100～499人,18,152.9,137.2,15.7,14.3,86.5,83.4,3.1
100人以上,18,152.4,136.3,16.1,13.7,86.1,82.7,3.4
30～99人,18.1,152.4,138.1,14.3,13.5,75.7,73.2,2.5
５～29人,18.7,156.4,144.7,11.7,12.7,77.5,74.7,2.8
30人以上,18.1,152.4,136.9,15.5,13.6,81.1,78.1,3
５人以上,18.2,153.5,138.9,14.6,13.2,79.4,76.5,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
