事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成22,2010,年平均,4707023,2936527,1770496,88074,46982,41091,90211,49259,40952,4704886,2934250,1770635,15.8,8.2,28.3
30人以上,TL 調査産業計,平成23,2011,年平均,4695712,2911544,1784168,84970,45778,39192,86667,47639,39028,4694015,2909683,1784332,16.4,8.3,29.5
30人以上,TL 調査産業計,平成24,2012,年平均,5016328,3136233,1880095,92336,50948,41388,94391,52499,41892,5014273,3134682,1879591,17.6,8.9,32.1
30人以上,TL 調査産業計,平成25,2013,年平均,5004937,3134864,1870073,95372,53156,42216,93680,53652,40029,5006629,3134368,1872260,17.8,9.2,32.3
30人以上,TL 調査産業計,平成26,2014,年平均,5051564,3127988,1923576,94820,51394,43426,89561,50469,39092,5056823,3128913,1927910,17.6,9.1,31.4
30人以上,TL 調査産業計,平成27,2015,年平均,5039024,3097411,1941613,104235,55782,48453,101392,54982,46410,5041867,3098211,1943656,18.7,10.2,32.3
30人以上,TL 調査産業計,平成27,2015,1月,5035279,3107397,1927882,52817,24331,28486,60825,29461,31364,5027271,3102267,1925004,18.5,9.9,32.4
30人以上,TL 調査産業計,平成27,2015,2月,5024851,3100325,1924526,63746,31568,32178,76878,41178,35700,5011719,3090715,1921004,18.8,10.1,32.6
30人以上,TL 調査産業計,平成27,2015,3月,4999087,3077193,1921894,76689,39465,37224,113863,57559,56304,4961913,3059099,1902814,19,10.3,33.1
30人以上,TL 調査産業計,平成27,2015,4月,4941893,3043486,1898407,337846,190450,147396,218477,126555,91922,5061262,3107381,1953881,18.9,10.2,32.6
30人以上,TL 調査産業計,平成27,2015,5月,5060223,3106052,1954171,116663,57744,58919,124691,67145,57546,5052195,3096651,1955544,18.3,9.9,31.6
30人以上,TL 調査産業計,平成27,2015,6月,5063751,3110504,1953247,89062,45967,43095,79800,45498,34302,5073013,3110973,1962040,18.6,10.3,31.9
30人以上,TL 調査産業計,平成27,2015,7月,5081598,3108559,1973039,95771,56843,38928,103454,59582,43872,5073915,3105820,1968095,18.8,10.4,32.1
30人以上,TL 調査産業計,平成27,2015,8月,5072642,3106686,1965956,73150,42171,30979,99838,50145,49693,5045954,3098712,1947242,18.3,10,31.6
30人以上,TL 調査産業計,平成27,2015,9月,5040298,3097500,1942798,86070,42808,43262,81518,41627,39891,5044850,3098681,1946169,18.7,10.2,32.4
30人以上,TL 調査産業計,平成27,2015,10月,5035199,3095803,1939396,116798,68028,48770,105205,61070,44135,5046792,3102761,1944031,18.8,10.5,32.1
30人以上,TL 調査産業計,平成27,2015,11月,5046793,3106417,1940376,79052,39407,39645,75084,37898,37186,5050761,3107926,1942835,19,10.5,32.6
30人以上,TL 調査産業計,平成27,2015,12月,5066669,3109011,1957658,63152,30599,32553,77067,42063,35004,5052754,3097547,1955207,19.1,10.4,32.8
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,2099,1650,449,42,37,5,34,31,3,2107,1656,451,0.3,0.2,0.4
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,2217,1732,485,37,30,7,29,25,4,2225,1737,488,0.4,0.5,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,1834,1487,347,37,33,4,33,30,3,1838,1490,348,1.1,0.9,1.5
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,1727,1384,343,27,22,5,24,21,3,1730,1385,345,2.4,2.2,3.4
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,1906,1501,405,36,30,7,29,25,4,1913,1506,408,2.7,2.6,3
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,1月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,2月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,4月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,5月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,6月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,7月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,8月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,9月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,10月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,11月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,12月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,D 建設業,平成22,2010,年平均,197690,171512,26177,2381,2113,268,2601,2215,386,197470,171410,26059,1.7,0.6,8.7
30人以上,D 建設業,平成23,2011,年平均,194039,169422,24618,2091,1823,268,2307,1941,366,193823,169304,24520,1.6,0.6,8.7
30人以上,D 建設業,平成24,2012,年平均,210124,182529,27595,2752,2370,382,2677,2276,401,210199,182623,27576,1.6,0.8,6.4
30人以上,D 建設業,平成25,2013,年平均,212250,183831,28419,2429,2035,395,2591,2317,274,212088,183549,28540,1.8,1,7.1
30人以上,D 建設業,平成26,2014,年平均,211632,181700,29932,2689,2093,596,2438,2016,422,211883,181777,30106,2.2,1.4,6.8
30人以上,D 建設業,平成27,2015,年平均,213193,184305,28888,2374,1966,408,2061,1681,380,213506,184590,28916,0.8,0.5,2.4
30人以上,D 建設業,平成27,2015,1月,211076,181923,29153,673,610,63,913,826,87,210836,181707,29129,1,0.7,3.1
