規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,521389,504143,461111,43032,17246,117260,115173,108058,7115,2087
100～499人,423177,399401,364623,34778,23776,121861,119948,113067,6881,1913
100人以上,470254,449608,410874,38734,20646,120188,118212,111246,6966,1976
30～99人,365735,357028,331382,25646,8707,100776,100101,95976,4125,675
５～29人,367982,346358,328460,17898,21624,91387,90304,87419,2885,1083
30人以上,437021,420171,385598,34573,16850,111461,110070,104381,5689,1391
５人以上,419652,401601,371223,30378,18051,101878,100634,96284,4350,1244
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
