規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1077575,1317997,674512,413792,489109,287523,378812,34980,663783,828888,386989
100～499人,784267,936824,505615,364214,423212,256452,335955,28259,420053,513612,249163
100人以上,922308,1113259,587402,387547,453714,271498,356125,31422,534761,659545,315904
30～99人,641204,775798,462987,302337,365717,218415,282997,19340,338867,410081,244572
５～29人,449963,573008,296786,252438,313685,176193,239117,13321,197525,259323,120593
30人以上,823745,1003347,538860,357670,425053,250787,330484,27186,466075,578294,288073
５人以上,708841,880107,456958,325321,393160,225549,302397,22924,383520,486947,231409
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
