規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,417228,492787,287438,411735,486335,283591,375903,35832,5493,6452,3847
100～499人,368167,428395,257722,360128,419765,250768,332582,27546,8039,8630,6954
100人以上,390905,457861,271804,384046,450228,266322,352660,31386,6859,7633,5482
30～99人,309128,374969,221077,304161,368801,217716,285165,18996,4967,6168,3361
５～29人,257498,322564,178178,250617,313062,174493,238275,12342,6881,9502,3685
30人以上,362894,431525,252402,356683,424357,247731,329541,27142,6211,7168,4671
５人以上,330504,400666,226952,324087,392837,222619,301493,22594,6417,7829,4333
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
