規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.3,19.8,18.5,159.3,167.5,145.4,143,148.4,133.9,16.3,19.1,11.5
100～499人,19.5,20,18.7,158.7,168.9,140.3,144,151.3,130.9,14.7,17.6,9.4
100人以上,19.4,19.9,18.6,159.1,168.3,142.7,143.6,150,132.3,15.5,18.3,10.4
30～99人,19.1,19.9,17.9,148.6,163.6,128.7,137,148.6,121.5,11.6,15,7.2
５～29人,18.4,19.7,16.9,141.9,160,120.3,133.2,148.2,115.3,8.7,11.8,5
30人以上,19.3,19.9,18.3,155.4,166.8,137.4,141.3,149.5,128.2,14.1,17.3,9.2
５人以上,19,19.8,17.9,151.3,164.9,131.4,138.8,149.2,123.7,12.5,15.7,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
