規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.4,18.8,17.6,150.9,158.5,138.5,135.8,140.8,127.6,15.1,17.7,10.9
100～499人,18.6,19,17.8,151.9,160.9,135.2,137.5,143.7,126.1,14.4,17.2,9.1
100人以上,18.5,18.9,17.7,151.4,159.7,136.9,136.7,142.3,126.9,14.7,17.4,10
30～99人,18,18.8,17,139.9,154,120.9,129.3,140.1,114.7,10.6,13.9,6.2
５～29人,17.5,18.6,16,134.6,151.4,113.5,126.2,139.9,108.9,8.4,11.5,4.6
30人以上,18.3,18.9,17.4,147.4,157.9,130.6,134.1,141.6,122.1,13.3,16.3,8.5
５人以上,18.1,18.8,17,143.5,156,124.9,131.7,141.1,117.7,11.8,14.9,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
