規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,18.2,153.5,138.9,14.6,13.2,79.4,76.5,2.9
５人以上,"鉱業,採石業,砂利採取業",-,-,-,-,-,-,-,-
５人以上,建設業,18.1,156,137.6,18.4,14.2,89.4,87.3,2.1
５人以上,製造業,17.6,149.4,135.9,13.5,14.2,96.5,92.3,4.2
５人以上,電気・ガス・熱供給・水道業,18.1,152.6,137.7,14.9,13.1,100.6,100.4,0.2
５人以上,情報通信業,17.9,156.6,136.6,20,13.1,91.9,87.7,4.2
５人以上,"運輸業,郵便業",18.9,164.4,144.4,20,15.1,102.6,94.8,7.8
５人以上,"卸売業,小売業",18.5,153.7,143,10.7,14.6,90,87.2,2.8
５人以上,"金融業,保険業",17.8,151.4,132.4,19,14.1,88.3,86.6,1.7
５人以上,"不動産業,物品賃貸業",18.7,157.2,142.4,14.8,14,86.3,82.5,3.8
５人以上,"学術研究,専門・技術サービス業",17.2,144,128.8,15.2,12.7,85.9,83.1,2.8
５人以上,"宿泊業,飲食サービス業",21,180.5,163.9,16.6,12.8,75.9,72.9,3
５人以上,"生活関連サービス業,娯楽業",19.9,166,152.3,13.7,13.7,90.1,85.3,4.8
５人以上,"教育,学習支援業",17.6,133.4,127.5,5.9,8.2,42.7,42.2,0.5
５人以上,"医療,福祉",18.6,146,138.1,7.9,12,61.7,60.1,1.6
５人以上,複合サービス事業,17.3,140.3,132.6,7.7,15.6,106.3,104.4,1.9
５人以上,サービス業（他に分類されないもの）,18.1,153.1,138.7,14.4,15.1,89.6,86.2,3.4
30人以上,調査産業計,18.1,152.4,136.9,15.5,13.6,81.1,78.1,3
30人以上,"鉱業,採石業,砂利採取業",-,-,-,-,-,-,-,-
30人以上,建設業,17.7,155.1,133.6,21.5,12.4,86.5,82.6,3.9
30人以上,製造業,17.6,149.7,135.8,13.9,13.8,95.9,90.4,5.5
30人以上,電気・ガス・熱供給・水道業,18.1,152.9,137.8,15.1,13.4,113.6,113,0.6
30人以上,情報通信業,17.9,156.3,135.3,21,13.1,94.6,89.3,5.3
30人以上,"運輸業,郵便業",18.7,163.6,143.5,20.1,14.6,104.2,94.7,9.5
30人以上,"卸売業,小売業",18.3,153.8,141.8,12,16,97.3,94.3,3
30人以上,"金融業,保険業",17.7,151.8,131.5,20.3,14.3,91.5,89.7,1.8
30人以上,"不動産業,物品賃貸業",18.3,154,138.4,15.6,15.3,79.1,77.5,1.6
30人以上,"学術研究,専門・技術サービス業",17.1,145,127.4,17.6,12.4,87.4,83.6,3.8
30人以上,"宿泊業,飲食サービス業",20.4,175.2,160.8,14.4,13,73.3,70.8,2.5
30人以上,"生活関連サービス業,娯楽業",18.9,150.7,135.5,15.2,12.9,88.3,84.6,3.7
30人以上,"教育,学習支援業",17.6,132.2,126.4,5.8,7.3,38.9,38.4,0.5
30人以上,"医療,福祉",19,147.7,139.7,8,13.1,63.9,62.1,1.8
30人以上,複合サービス事業,18.1,145.9,136.3,9.6,12,82.1,81.2,0.9
30人以上,サービス業（他に分類されないもの）,18,152.1,137.8,14.3,15.7,93,89.4,3.6
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
