規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,153.6,136.4,17.2,12.7,84.5,80.9,3.6
100～499人,18.7,158.8,142.3,16.5,14.5,89.6,86.6,3
100人以上,18.4,156.4,139.5,16.9,13.8,87.7,84.4,3.3
30～99人,19.3,162.4,147.4,15,13.7,77.1,74.8,2.3
５～29人,20.3,169.3,157,12.3,13,78.4,75.8,2.6
30人以上,18.7,158.3,142,16.3,13.7,82.6,79.8,2.8
５人以上,19.1,161.1,145.8,15.3,13.4,80.7,78,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
