規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,555098,457779,417427,40352,97319,134748,131308,123998,7310,3440
100～499人,430402,404742,373510,31232,25660,118749,116762,111951,4811,1987
100人以上,489674,429952,394385,35567,59722,125058,122498,116702,5796,2560
30～99人,393886,372710,349076,23634,21176,99620,98965,95594,3371,655
５～29人,356548,344985,328757,16228,11563,93505,92829,90152,2677,676
30人以上,459449,411890,380089,31801,47559,112708,111073,106454,4619,1635
５人以上,433398,394952,367093,27859,38446,103697,102512,98804,3708,1185
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年５月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
