規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,687308,461456,421185,40271,225852,138325,134315,127223,7092,4010
100～499人,594925,411423,379949,31474,183502,129766,122613,117892,4721,7153
100人以上,638915,435247,399584,35663,203668,133450,127650,121909,5741,5800
30～99人,545981,385013,358259,26754,160968,104919,100916,97430,3486,4003
５～29人,463150,341981,323448,18533,121169,100901,97134,93837,3297,3767
30人以上,609279,419228,386406,32822,190051,119587,114660,110015,4645,4927
５人以上,572027,399536,370357,29179,172491,110933,106543,102522,4021,4390
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年７月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
