規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.1,169.1,150.9,18.2,14,92.6,88.8,3.8
100～499人,20.4,172,155,17,15.4,93.5,90.2,3.3
100人以上,20.2,170.7,153.1,17.6,14.8,93.1,89.6,3.5
30～99人,20.7,173.2,158.3,14.9,14.4,80.5,77.8,2.7
５～29人,21.4,177.8,165.6,12.2,13.4,81.3,78.5,2.8
30人以上,20.4,171.4,154.7,16.7,14.6,87,83.9,3.1
５人以上,20.6,173.1,157.5,15.6,14.1,84.3,81.4,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
