規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.4,17.8,16.7,144.8,151.8,132.9,129.3,133.7,121.8,15.5,18.1,11.1
100～499人,17.9,18.4,17.1,147,156.9,128.8,132.8,139.6,120.3,14.2,17.3,8.5
100人以上,17.7,18.1,16.9,146,154.6,130.8,131.2,136.9,121,14.8,17.7,9.8
30～99人,17.8,18.7,16.7,140.3,155.5,120,128.6,139.9,113.5,11.7,15.6,6.5
５～29人,17.6,18.8,16,135.2,153.2,113.3,126.5,141.1,108.8,8.7,12.1,4.5
30人以上,17.7,18.3,16.8,144.1,154.8,126.7,130.3,137.8,118.2,13.8,17,8.5
５人以上,17.7,18.4,16.6,141.3,154.4,122,129.1,138.8,114.9,12.2,15.6,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
