規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.2,18.6,17.4,149.8,157.7,136.5,134.2,139.3,125.6,15.6,18.4,10.9
100～499人,18.5,19,17.6,151.4,161.1,133.9,137.1,144,124.6,14.3,17.1,9.3
100人以上,18.4,18.9,17.5,150.6,159.5,135.1,135.7,141.8,125.1,14.9,17.7,10
30～99人,18,18.8,16.9,141.5,155.6,122.3,130.3,141.1,115.6,11.2,14.5,6.7
５～29人,17.9,19.1,16.3,137.4,154.6,115.8,128.9,143.1,111,8.5,11.5,4.8
30人以上,18.2,18.8,17.3,147.4,158.2,130.1,133.8,141.6,121.4,13.6,16.6,8.7
５人以上,18.1,18.9,17,144.3,157.1,125.3,132.3,142,117.9,12,15.1,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
