規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,151.7,136,15.7,13.2,87.2,83.3,3.9
100～499人,18.7,158,142.1,15.9,15,90.7,87.6,3.1
100人以上,18.4,155,139.2,15.8,14.2,89.2,85.8,3.4
30～99人,19.2,161.9,148.6,13.3,13.9,79.4,76.4,3
５～29人,20.2,168.6,157,11.6,13.3,81.8,78.8,3
30人以上,18.7,157.2,142.2,15,14.1,84.5,81.3,3.2
５人以上,19.1,160.1,146,14.1,13.7,83.2,80.1,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年９月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
