事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,TL 調査産業計,平成22,2010,年平均,18.5,19.3,17.5,147,158.3,129.7,135.5,144.5,121.8,11.5,13.8,7.9
５人以上,TL 調査産業計,平成23,2011,年平均,18.4,19.2,17.3,146,157.7,128.3,134.8,144,120.9,11.2,13.7,7.4
５人以上,TL 調査産業計,平成24,2012,年平均,18.7,19.4,17.6,148.3,160.5,129.9,136.4,145.5,122.6,11.9,15,7.3
５人以上,TL 調査産業計,平成25,2013,年平均,18.4,19.1,17.3,146.2,158.2,127.9,134.1,143.1,120.4,12.1,15.1,7.5
５人以上,TL 調査産業計,平成26,2014,年平均,18.2,19,17.2,145.2,157.5,127,132.9,142.2,119.3,12.3,15.3,7.7
５人以上,TL 調査産業計,平成27,2015,年平均,18.1,18.8,17,144.2,156.9,125.5,132.2,141.7,118.2,12,15.2,7.3
５人以上,TL 調査産業計,平成27,2015,1月,17,17.7,15.9,135.4,147.5,117.4,123.7,132.7,110.3,11.7,14.8,7.1
５人以上,TL 調査産業計,平成27,2015,2月,17.7,18.4,16.6,141.3,154.4,122,129.1,138.8,114.9,12.2,15.6,7.1
５人以上,TL 調査産業計,平成27,2015,3月,18.4,19.2,17.2,146.5,160.2,126.2,133.8,144.1,118.6,12.7,16.1,7.6
５人以上,TL 調査産業計,平成27,2015,4月,19,19.8,17.9,151.3,164.9,131.4,138.8,149.2,123.7,12.5,15.7,7.7
５人以上,TL 調査産業計,平成27,2015,5月,17.3,17.9,16.5,137.8,149.1,121.4,126.2,134.6,114.1,11.6,14.5,7.3
５人以上,TL 調査産業計,平成27,2015,6月,18.9,19.7,17.9,150.2,163.2,131.3,138.2,147.9,124.1,12,15.3,7.2
５人以上,TL 調査産業計,平成27,2015,7月,19.2,20,18,153.9,167.5,133.7,141.4,151.7,126.2,12.5,15.8,7.5
５人以上,TL 調査産業計,平成27,2015,8月,17.8,18.5,16.8,141.9,154,124,130.6,139.7,117.1,11.3,14.3,6.9
５人以上,TL 調査産業計,平成27,2015,9月,17.8,18.4,16.8,141.5,153.5,123.5,130,139,116.6,11.5,14.5,6.9
５人以上,TL 調査産業計,平成27,2015,10月,18.1,18.8,17,143.5,156,124.9,131.7,141.1,117.7,11.8,14.9,7.2
５人以上,TL 調査産業計,平成27,2015,11月,18.1,18.9,17,144.3,157.1,125.3,132.3,142,117.9,12,15.1,7.4
５人以上,TL 調査産業計,平成27,2015,12月,17.8,18.6,16.7,142.3,154.7,123.9,130.3,139.6,116.6,12,15.1,7.3
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,18.9,19.1,18.5,151.2,152.5,146.2,138.1,139.3,133.6,13.1,13.2,12.6
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,19.1,18.7,150.2,151.2,146.7,138.9,139.8,135.7,11.3,11.4,11
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,19.7,19,159.8,163.4,144.9,142.8,145.2,132.8,17,18.2,12.1
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,19.1,19.3,18.5,156.1,158.9,144.7,139.2,140.7,133,16.9,18.2,11.7
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,19,19.2,18.4,156.7,160.2,144,138.2,139.8,132.2,18.5,20.4,11.8
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,1月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,2月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,3月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,4月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,5月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,6月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,7月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,8月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,9月,－,－,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,10月,－,－,－,－,－,－,－,－,－,－,－,－
