規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.5,156.2,139.7,16.5,13.3,87.4,83,4.4
100～499人,18.8,160,143.4,16.6,14.9,91.3,87.6,3.7
100人以上,18.7,158.2,141.7,16.5,14.2,89.7,85.7,4
30～99人,19.3,161.8,148,13.8,13.7,78.7,76.1,2.6
５～29人,20.2,169.3,156.7,12.6,13.3,81.6,78.6,3
30人以上,18.9,159.3,143.7,15.6,14,84.2,80.9,3.3
５人以上,19.2,161.9,147,14.9,13.7,83,79.9,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
