規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.4,17.8,16.7,144,150.4,132.7,129,133.3,121.5,15,17.1,11.2
100～499人,17.4,17.8,16.6,141.6,150.1,125.8,128,133.8,117.2,13.6,16.3,8.6
100人以上,17.4,17.8,16.7,142.6,150.3,129,128.4,133.6,119.2,14.2,16.7,9.8
30～99人,16.9,17.7,16,132.4,146.8,113.4,121.2,131.7,107.3,11.2,15.1,6.1
５～29人,16.4,17.5,15.1,126.8,143.1,106.8,118.5,131.8,102.1,8.3,11.3,4.7
30人以上,17.2,17.8,16.4,139.2,149.2,123,126,133,114.6,13.2,16.2,8.4
５人以上,17,17.7,15.9,135.4,147.5,117.4,123.7,132.7,110.3,11.7,14.8,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
