規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.2,17.2,147.1,153.8,135.8,132.2,136.5,125,14.9,17.3,10.8
100～499人,18.2,18.6,17.4,148.9,158.1,132,134.4,140.7,122.8,14.5,17.4,9.2
100人以上,18,18.4,17.3,148,156,133.9,133.3,138.7,123.9,14.7,17.3,10
30～99人,17.8,18.7,16.6,139.5,154.4,119.8,128.7,140.2,113.5,10.8,14.2,6.3
５～29人,17.6,18.8,16.2,136.2,152.7,115.5,127.2,140.6,110.5,9,12.1,5
30人以上,17.9,18.5,17,145,155.5,128.3,131.7,139.2,119.8,13.3,16.3,8.5
５人以上,17.8,18.6,16.7,142.3,154.7,123.9,130.3,139.6,116.6,12,15.1,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
