規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,503433,606487,328050,417653,491417,292116,381363,36290,85780,115070,35934
100～499人,379555,442591,267106,357758,415308,255095,330837,26921,21797,27283,12011
100人以上,436989,517880,295816,385527,450270,272535,354262,31265,51462,67610,23281
30～99人,318286,385409,228856,302382,363835,220506,283954,18428,15904,21574,8350
５～29人,259357,325035,180222,251817,314023,176864,240596,11221,7540,11012,3358
30人以上,395832,475104,270070,356699,422360,252530,329885,26814,39133,52744,17540
５人以上,354198,432912,239529,324703,391901,226810,302646,22057,29495,41011,12719
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年５月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
