規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.5,17.7,17,143.4,149.3,133.3,129.2,132.8,122.9,14.2,16.5,10.4
100～499人,18.1,18.5,17.3,147,156.5,129.8,133.2,139.8,121.3,13.8,16.7,8.5
100人以上,17.8,18.1,17.1,145.3,153.1,131.5,131.3,136.5,122.1,14,16.6,9.4
30～99人,17.9,18.6,16.9,140.8,154.6,122.2,130.1,140.6,116,10.7,14,6.2
５～29人,17.7,18.8,16.2,136.4,153.4,115,128,141.9,110.5,8.4,11.5,4.5
30人以上,17.8,18.3,17.1,143.7,153.7,127.9,130.9,137.9,119.7,12.8,15.8,8.2
５人以上,17.8,18.4,16.8,141.5,153.5,123.5,130,139,116.6,11.5,14.5,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
