規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.1,160.4,143.5,16.9,13.7,89.9,86,3.9
100～499人,19.3,163.2,146.7,16.5,15,91,88,3
100人以上,19.2,161.9,145.2,16.7,14.4,90.5,87.1,3.4
30～99人,19.5,161.4,148,13.4,13.9,79.4,76.7,2.7
５～29人,20,166.5,154.7,11.8,13.3,80.6,77.9,2.7
30人以上,19.3,161.7,146.1,15.6,14.2,85.1,82,3.1
５人以上,19.5,163,148.3,14.7,13.8,83,80.1,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１０月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
