規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.3,151.6,136.5,15.1,13.7,84,80.1,3.9
100～499人,18.2,154.6,138.3,16.3,14.1,90.8,86.3,4.5
100人以上,18.3,153.1,137.4,15.7,14,88.3,84,4.3
30～99人,18.2,156,140.4,15.6,14.1,81.4,79,2.4
５～29人,18.7,156.1,144.3,11.8,12.6,77.5,74.8,2.7
30人以上,18.3,154,138.4,15.6,14,85.2,81.8,3.4
５人以上,18.4,154.6,139.9,14.7,13.4,81.5,78.4,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
