事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,625350,4.2,87.7,89.7,1.26,-0.11,589360,-3,88.8,89.6,1.3,-0.14
30人以上,C 鉱業，採石業，砂利採取業,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,D 建設業,709863,18.7,87.4,94.2,1.58,0.28,607780,-1.7,87.6,92.7,1.39,-0.14
30人以上,E 製造業,951058,15.4,89.3,92.2,1.54,0.15,907771,15.7,90.6,91.6,1.57,0.21
30人以上,F 電気・ガス・熱供給・水道業,730261,-14.5,89,72,1.71,-0.76,949215,10.3,21.1,62.5,2.68,0.02
30人以上,G 情報通信業,645313,-11.9,87.9,93.5,1.18,-0.49,614198,-14.2,89.8,93.3,1.37,-0.35
30人以上,"H 運輸業,郵便業",581655,6.9,86.9,89.2,1.21,-0.33,562311,-4.1,91.5,93,1.39,-0.43
30人以上,"I 卸売業,小売業",651965,-2.8,93.2,92.1,1.27,-0.05,601044,10.3,92.8,93.3,1.32,0.01
30人以上,"J 金融業,保険業",1088347,-0.7,99.6,96,2.33,0.36,840079,-26.3,98.6,94.8,1.88,-0.05
30人以上,"K 不動産業,物品賃貸業",601914,-9.5,87.5,89,1.54,-0.13,607615,-2.2,89.2,91.5,1.59,0.04
30人以上,"L 学術研究,専門・技術サービス業",804544,31,84.2,83.7,1.74,0.36,718085,9.4,87.7,83.7,1.6,-0.19
30人以上,"M 宿泊業,飲食サービス業",107499,-22.9,81.2,81.2,0.4,-0.1,131073,-5.3,85.6,87.6,0.5,0.03
30人以上,"N 生活関連サービス業,娯楽業",269995,-27.9,87.1,86.5,1.08,-0.12,241436,-20.2,81.9,78.8,1.07,0.13
30人以上,"O 教育,学習支援業",550407,-4.8,99.3,99.4,1.37,-0.29,665460,-0.6,99.3,99.5,1.71,-0.19
30人以上,"P 医療,福祉",421911,11.3,79.8,80,1.22,0.02,461277,2,86.1,85.4,1.36,-0.01
30人以上,Q 複合サービス事業,494019,0.1,100,100,1.45,-0.05,653048,14.5,67.1,77.3,1.82,0.15
30人以上,R サービス業（他に分類されないもの）,334162,17.8,83.6,82.5,1.08,-0.05,316743,-11.3,82,76.5,1.07,-0.17
30人以上,"E09,10 食料品製造業、飲料・たばこ・飼料製造業",824251,31.4,91.1,94.6,1.78,0.59,811307,32.3,95.3,96.3,1.7,0.5
30人以上,E11 繊維工業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E12 木材・木製品製造業（家具を除く）,171388,-61.8,55.6,65.5,0.6,-1.31,172873,-62,55.6,65.5,0.66,-1.32
30人以上,E13 家具・装備品製造業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E14 パルプ・紙・紙加工品製造業,668867,-3,100,100,2.02,0.56,689998,5.2,100,100,2.03,0.63
30人以上,E15 印刷・同関連業,520664,18.6,80.9,88.6,0.73,-0.01,528067,29,88.9,78.1,0.85,0.16
30人以上,"E16,17 化学工業、石油製品・石炭製品製造業",1261690,28.4,97.3,83.2,1.95,-0.01,1049816,10.7,96.4,83.6,2.35,0.49
30人以上,E18 プラスチック製品製造業（別掲を除く）,1362773,107.3,4.5,48.6,2.58,1.17,1127147,74.2,10.3,68.9,1.93,0.4
30人以上,E19 ゴム製品製造業,1183346,147.8,100,100,3.21,1.9,1210785,145.5,100,100,3.41,2.25
30人以上,E21 窯業・土石製品製造業,872220,-3,88.4,55.8,2.24,0.58,798385,-17.2,88.4,55.6,2.36,0.59
30人以上,E22 鉄鋼業,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,E23 非鉄金属製造業,1564031,35.5,69.7,87.1,2.19,-0.08,1236898,31.4,69.7,87.8,1.9,-0.05
30人以上,E24 金属製品製造業,572266,-27.1,100,100,0.51,-0.92,564201,-25.5,100,100,0.52,-0.93
30人以上,E25 はん用機械器具製造業,806338,-3.8,100,100,2.16,0.73,863814,-8.1,100,100,1.74,-0.06
30人以上,E26 生産用機械器具製造業,914253,8.6,100,100,1.11,-0.2,888753,2.1,100,100,1.35,0.01
30人以上,E27 業務用機械器具製造業,869686,4.2,100,100,1.47,0.12,863751,5.2,100,100,1.51,0.14
30人以上,E28 電子部品・デバイス・電子回路製造業,1033600,38,74.7,95.4,1.21,-0.22,1117056,82.5,74.7,94.8,1.57,0.21
30人以上,E29 電気機械器具製造業,827243,-16.5,100,100,1.5,-0.14,916230,-5.4,100,100,1.77,0.05
30人以上,E30 情報通信機械器具製造業,1157718,14.7,86.2,97.7,2.65,1.16,1210209,16.2,83.5,98,3.28,1.64
30人以上,E31 輸送用機械器具製造業,1241152,21.6,100,100,1.7,-0.06,1052680,5,100,100,1.52,-0.43
30人以上,"E32,20 その他の製造業、なめし革・同製品・毛皮製造業",824753,-6.7,74.7,94.8,2.84,0.69,608687,-10.7,100,100,1.63,-0.08
30人以上,I-1 卸売業,923901,-5.1,94.5,92.9,1.74,-0.02,803329,4.4,99,96.9,1.61,-0.19
30人以上,I-2 小売業,266964,7.3,92,91,0.86,0.05,259686,12.8,85.1,87.9,0.9,0.16
30人以上,M75 宿泊業,211411,-17,99,93,0.5,-0.32,272029,-3.8,98.6,92.4,0.53,-0.35
30人以上,MS Ｍ一括分,89792,-24.1,80,79.5,0.39,-0.08,110513,0.4,84.8,87,0.5,0.07
30人以上,P83 医療業,516486,8.9,62.6,79.7,1.37,0,603060,9.4,72.5,81.1,1.51,0.08
30人以上,PSＰ一括分,342497,18,81.1,80.3,1.22,0.05,340504,0.1,87.6,89.4,1.34,-0.01
30人以上,R91 職業紹介・労働者派遣業,263019,52.2,86.3,85.8,1.03,0.42,222817,19,94,61.8,1.1,0.51
30人以上,R92 その他の事業サービス業,247157,-6.5,78.6,76.2,0.81,-0.25,233631,-25.8,76.4,82.5,0.71,-0.49
30人以上,RS Ｒ一括分,680055,1.2,91.9,99.4,1.61,-0.1,697235,12.2,81.9,87.9,1.7,0.11
30人以上,L71 学術・開発研究機関,744888,-18.8,100,100,1.98,0.13,777447,-9.3,100,100,2.11,0.31
30人以上,"L72,74 専門サービス業，技術サービス業",726181,32,78.5,85.8,1.34,-0.06,723396,14.8,83.8,85.4,1.43,-0.42
30人以上,L73 広告業,1454420,215.1,59.1,23.8,2.87,2.04,559805,17.5,83.3,47,1.66,0.69
30人以上,N78 洗濯・理容・美容・浴場業,25106,-86.4,52.3,58.6,0.25,-0.76,75235,-44.2,8.3,17.9,0.34,-0.49
30人以上,"R89,90 自動車整備業、機械等修理業",603920,-14.1,100,100,1.12,-1.05,617864,-3.3,100,100,1.26,-0.83
30人以上,E25-31 ［特掲積上げ］機械関連製造業,988146,8.3,97.2,98.9,1.46,0.01,1001706,11.7,96.9,99,1.58,0.04
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成27年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況（事業所規模30人以上）,,,,,,,,,,,,,
