規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,467739,454409,417919,36490,13330,134491,131698,124337,7361,2793
100～499人,438983,411302,382655,28647,27681,120508,119510,115017,4493,998
100人以上,452804,432020,399603,32417,20784,126312,124569,118885,5684,1743
30～99人,392575,376029,352514,23515,16546,100452,100003,96529,3474,449
５～29人,356125,343790,326039,17751,12335,95857,95515,92144,3371,342
30人以上,433516,414089,384523,29566,19427,113836,112717,108099,4618,1119
５人以上,413834,396211,369650,26561,17623,105418,104663,100629,4034,755
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年９月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
