規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,152.5,135.8,16.7,13.3,87.5,83.9,3.6
100～499人,18.3,155.2,139.5,15.7,14.4,87.6,84.5,3.1
100人以上,18.2,153.9,137.7,16.2,13.9,87.6,84.3,3.3
30～99人,18.5,155,141.1,13.9,13.8,79.4,76.7,2.7
５～29人,19.1,159.2,148.1,11.1,13.1,80,77.4,2.6
30人以上,18.3,154.3,138.8,15.5,13.9,83.6,80.6,3
５人以上,18.5,155.5,141.1,14.4,13.5,81.9,79.1,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
