規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.3,18.5,155.6,162.2,144.4,140.3,144.3,133.5,15.3,17.9,10.9
100～499人,19.4,19.9,18.6,158,167.2,141,144,150.4,132.2,14,16.8,8.8
100人以上,19.2,19.6,18.6,156.9,164.9,142.6,142.3,147.6,132.8,14.6,17.3,9.8
30～99人,19,19.9,17.9,149.5,165.3,128.4,137.1,148.7,121.7,12.4,16.6,6.7
５～29人,18.4,19.6,17,140.9,158.4,120,133,147.6,115.5,7.9,10.8,4.5
30人以上,19.2,19.7,18.3,154.3,165.1,137.1,140.5,148,128.5,13.8,17.1,8.6
５人以上,18.9,19.7,17.9,150.2,163.2,131.3,138.2,147.9,124.1,12,15.3,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
